,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,San Diego State,M. Pope,1.53846153846,0,6,1.76140969186,20,9,3.15384615385,0,7,2.33973480855,41,11,1.38461538462,0,3,1.19292787841,18,9,21.9230769231,7,37,7.85770893732,285,13,1.23076923077,0,6,1.92153784566,16,5,8.92307692308,0,20,6.23780862245,116,12,6.53846153846,1,11,3.15212585978,85,13,2.76923076923,0,5,1.78670302297,36,11
21,San Diego State,M. Shrigley,0.0,0,0,0.0,0,0,0.615384615385,0,4,1.19292787841,8,4,0.538461538462,0,4,1.1266014243,7,4,10.9230769231,5,19,4.07147676856,142,13,0.0,0,0,0.0,0,0,1.76923076923,0,12,3.49174851504,23,4,2.69230769231,0,9,2.42846369078,35,11,2.46153846154,0,9,2.53690706095,32,10
21,San Diego State,N. Federico,0.0,0,0,,0,0,2.0,2,2,,2,1,1.0,1,1,,1,1,3.0,3,3,,3,1,0.0,0,0,,0,0,5.0,5,5,,5,1,3.0,3,3,,3,1,2.0,2,2,,2,1
21,San Diego State,P. U'u,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2.0,1,3,1.0,6,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.666666666667,0,1,0.57735026919,2,2,0.666666666667,0,1,0.57735026919,2,2
21,San Diego State,S. Spencer,1.07692307692,0,4,1.49786172379,14,5,1.15384615385,0,4,1.21423184539,15,9,0.0,0,0,0.0,0,0,25.1538461538,16,33,5.12910248559,327,13,0.538461538462,0,3,0.967417922047,7,4,2.84615384615,0,8,2.60915547787,37,10,2.30769230769,1,4,0.947330933431,30,13,0.0,0,0,0.0,0,0
21,San Diego State,T. Kell,5.61538461538,0,10,3.33012666272,73,12,5.0,3,7,1.22474487139,65,13,2.69230769231,1,4,1.10940039245,35,13,31.0769230769,24,37,4.44337593993,404,13,3.84615384615,0,7,2.19264504827,50,12,16.5384615385,12,24,2.87562702193,215,13,12.2307692308,7,17,2.80338623079,159,13,6.61538461538,4,12,2.53437900147,86,13
21,San Diego State,W. Shepard,6.07692307692,3,13,2.72217861469,79,13,4.15384615385,1,7,1.67561699314,54,13,0.384615384615,0,2,0.650443635588,5,4,30.6923076923,26,40,3.90266181353,399,13,3.76923076923,1,9,2.38585575681,49,13,12.4615384615,5,18,3.47887397049,162,13,10.7692307692,7,15,2.61896436764,140,13,1.38461538462,0,4,1.32529629005,18,10
21,San Diego State,Z. Cheatham,4.0,0,9,2.88675134595,52,11,2.0,0,4,1.15470053838,26,12,0.0769230769231,0,1,0.277350098113,1,1,22.1538461538,10,30,6.14879600472,288,13,3.0,0,7,2.2360679775,39,11,7.07692307692,2,11,3.20056084829,92,13,3.92307692308,2,9,1.97743682839,51,13,0.384615384615,0,1,0.506369683542,5,5
25,California,B. Chauca,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2.5,0,5,2.08166599947,10,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.75,0,1,0.5,3,3,0.75,0,1,0.5,3,3
25,California,B. Glapion,0.666666666667,0,2,1.15470053838,2,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.33333333333,1,2,0.57735026919,4,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.333333333333,0,1,0.57735026919,1,1,0.0,0,0,0.0,0,0
25,California,C. Welle,1.0,0,2,1.41421356237,2,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.5,1,2,0.707106781187,3,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
25,California,I. Rabb,5.53846153846,1,10,3.30694684504,72,13,4.53846153846,1,9,2.10615703021,59,13,0.0769230769231,0,1,0.277350098113,1,1,29.5384615385,21,36,5.48658036509,384,13,3.30769230769,1,8,2.0970064133,43,13,12.4615384615,3,21,4.48358830654,162,13,7.69230769231,2,12,3.14601905548,100,13,0.0769230769231,0,1,0.277350098113,1,1
25,California,J. Bird,1.46153846154,0,4,1.1266014243,19,10,4.69230769231,0,9,2.81023769412,61,12,2.53846153846,0,5,1.8081014267,33,11,29.3846153846,18,37,6.78894274462,382,13,1.07692307692,0,4,1.11516355015,14,9,13.0,1,24,7.33712023435,169,13,9.23076923077,3,14,3.4678006035,120,13,4.92307692308,1,8,2.46514159369,64,13
25,California,J. Brown,6.76923076923,0,12,3.58594120964,88,12,4.69230769231,1,9,2.28708749959,61,13,1.07692307692,0,3,0.862316498503,14,10,29.3076923077,15,33,4.92247592485,381,13,4.53846153846,0,8,2.98929714747,59,11,15.0,5,27,6.37704215657,195,13,12.0769230769,6,20,4.13242339033,157,13,3.23076923077,1,7,1.48064435038,42,13
25,California,J. Mathews,3.0,0,10,3.18852107828,39,9,3.92307692308,2,6,1.38212025897,51,13,2.46153846154,1,4,1.05003052459,32,13,29.6153846154,24,37,3.88455191621,385,13,2.30769230769,0,6,2.25035609718,30,9,12.6153846154,5,18,4.87405480646,164,13,9.92307692308,4,13,2.72217861469,129,13,6.53846153846,2,9,2.53690706095,85,13
25,California,K. Okoroh,0.230769230769,0,1,0.438529009654,3,3,0.846153846154,0,3,0.898717034273,11,8,0.0,0,0,0.0,0,0,11.4615384615,4,22,5.42548591703,149,13,0.0769230769231,0,1,0.277350098113,1,1,1.76923076923,0,7,2.00640001636,23,8,1.38461538462,0,3,1.12089707664,18,9,0.0,0,0,0.0,0,0
25,California,K. Rooks,1.69230769231,0,5,1.93151992761,22,7,1.84615384615,0,4,1.28102523044,24,12,0.0,0,0,0.0,0,0,20.2307692308,7,28,6.4051261522,263,13,0.923076923077,0,3,1.11516355015,12,6,4.61538461538,1,11,2.78503325948,60,13,3.23076923077,1,6,1.69085018821,42,13,0.0,0,0,0.0,0,0
25,California,N. Kerr,0.0,0,0,0.0,0,0,0.333333333333,0,1,0.57735026919,1,1,0.333333333333,0,1,0.57735026919,1,1,1.33333333333,1,2,0.57735026919,4,3,0.0,0,0,0.0,0,0,1.0,0,3,1.73205080757,3,1,1.0,0,3,1.73205080757,3,1,1.0,0,3,1.73205080757,3,1
25,California,R. Moute a Bidias,0.0,0,0,0.0,0,0,0.125,0,1,0.353553390593,1,1,0.125,0,1,0.353553390593,1,1,6.125,2,15,4.85320218295,49,8,0.0,0,0,0.0,0,0,0.375,0,3,1.06066017178,3,1,0.875,0,2,0.991031208965,7,4,0.25,0,1,0.462910049886,2,2
25,California,S. Domingo,0.1,0,1,0.316227766017,1,1,0.5,0,2,0.849836585599,5,3,0.4,0,2,0.69920589878,4,3,6.5,0,17,5.27573059711,65,9,0.0,0,0,0.0,0,0,1.4,0,6,2.36643191324,14,3,1.1,0,4,1.28668393771,11,6,0.9,0,3,0.994428926012,9,6
25,California,S. Singer,1.0,0,2,1.0,13,7,0.769230769231,0,3,1.01273936708,10,6,0.0769230769231,0,1,0.277350098113,1,1,18.4615384615,5,32,9.28812310261,240,13,0.615384615385,0,2,0.869718492623,8,5,2.23076923077,0,7,2.35066820833,29,9,2.61538461538,0,6,1.89466186686,34,12,0.769230769231,0,2,0.832050294338,10,7
25,California,T. Wallace,6.2,0,18,5.84617633824,62,8,4.9,1,10,2.60128173535,49,10,0.9,0,3,1.28668393771,9,4,30.6,20,41,5.71936282387,306,10,4.2,0,11,3.67574633389,42,8,14.9,5,26,6.9514187201,149,10,12.2,9,21,3.70585122925,122,10,2.8,1,7,1.75119007154,28,10
30,USC,B. Boatwright,3.30769230769,0,10,2.83973635468,43,11,3.30769230769,0,7,2.46253986041,43,11,1.46153846154,0,5,1.3913653136,19,10,23.3076923077,14,29,4.73259293595,303,13,2.38461538462,0,8,2.50128172272,31,10,10.4615384615,0,19,6.2532043068,136,11,9.30769230769,4,15,3.54458778479,121,13,4.53846153846,0,9,2.56954550506,59,12
30,USC,C. Metu,2.38461538462,0,6,2.06310694255,31,10,2.30769230769,0,5,1.49357598761,30,11,0.0,0,0,0.0,0,0,19.9230769231,13,26,3.75192258408,259,13,1.38461538462,0,4,1.32529629005,18,9,6.0,1,12,3.08220700148,78,13,4.84615384615,2,7,1.72463299701,63,13,0.0769230769231,0,1,0.277350098113,1,1
30,USC,D. Clark,0.666666666667,0,4,1.63299316186,4,1,0.833333333333,0,2,0.98319208025,5,3,0.0,0,0,0.0,0,0,8.33333333333,2,14,4.63321342771,50,6,0.166666666667,0,1,0.408248290464,1,1,1.83333333333,0,5,2.22860195339,11,3,1.5,0,3,1.04880884817,9,5,0.0,0,0,0.0,0,0
30,USC,E. Stewart,1.0,0,4,1.29099444874,13,6,2.84615384615,1,7,1.72463299701,37,13,1.53846153846,0,3,0.877058019307,20,11,25.7692307692,19,29,3.19253937991,335,13,0.846153846154,0,4,1.28102523044,11,5,8.07692307692,2,16,4.05095746833,105,13,7.0,3,12,2.70801280155,91,13,3.76923076923,1,7,1.78670302297,49,13
30,USC,J. Jacobs,3.61538461538,0,11,2.75494892688,47,12,3.76923076923,1,8,2.48843478763,49,13,0.461538461538,0,3,0.877058019307,6,4,31.3076923077,24,38,3.79439532698,407,13,2.61538461538,0,6,1.98067587532,34,11,10.6153846154,3,17,5.12410092176,138,13,8.15384615385,2,17,4.72310197939,106,13,1.38461538462,0,3,1.04390784543,18,11
30,USC,J. McLaughlin,3.61538461538,0,10,3.6179750676,47,11,5.07692307692,1,9,2.49871761982,66,13,1.53846153846,0,4,1.26592420885,20,10,33.6153846154,30,38,2.56704958849,437,13,2.84615384615,0,9,3.46039867275,37,8,14.5384615385,2,25,7.06653362236,189,13,10.6923076923,6,16,3.09258832762,139,13,3.69230769231,1,6,1.49357598761,48,13
30,USC,K. Reinhardt,1.0,0,3,1.22474487139,13,6,3.92307692308,1,6,1.89127551587,51,13,1.76923076923,0,3,1.0919284282,23,11,26.7692307692,18,33,4.34269206357,348,13,0.615384615385,0,3,0.960768922831,8,5,10.2307692308,3,18,4.81583925109,133,13,8.46153846154,5,12,2.1838568564,110,13,4.69230769231,1,8,2.0159619451,61,13
30,USC,M. Marquetti,0.75,0,4,1.48804761829,6,2,0.375,0,3,1.06066017178,3,1,0.0,0,0,0.0,0,0,5.5,1,14,4.65985898009,44,8,0.5,0,2,0.925820099773,4,2,1.25,0,6,2.12132034356,10,3,0.875,0,5,1.80772153355,7,2,0.125,0,1,0.353553390593,1,1
30,USC,M. Martin,1.09090909091,0,4,1.3751033019,12,5,0.818181818182,0,4,1.40129809949,9,4,0.0,0,0,0.0,0,0,5.63636363636,1,14,3.61310745129,62,11,0.454545454545,0,2,0.687551650952,5,4,2.09090909091,0,9,3.20794468327,23,5,1.27272727273,0,5,2.00454030096,14,4,0.0909090909091,0,1,0.301511344578,1,1
30,USC,N. Jovanovic,4.15384615385,0,10,3.62505526041,54,9,4.84615384615,1,11,3.36269122991,63,13,0.230769230769,0,1,0.438529009654,3,3,26.0,20,32,3.93700393701,338,13,2.84615384615,0,8,2.79422481338,37,9,12.7692307692,4,28,7.58456597477,166,13,9.46153846154,4,16,3.75533808099,123,13,0.538461538462,0,2,0.660225291774,7,6
30,USC,S. Dhillon,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0,1.0,1,1,,1,1,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0
30,USC,S. Gavrilovic,0.25,0,2,0.707106781187,2,1,0.25,0,1,0.462910049886,2,2,0.0,0,0,0.0,0,0,2.0,1,3,0.755928946018,16,8,0.25,0,2,0.707106781187,2,1,0.75,0,4,1.48804761829,6,2,0.75,0,3,1.03509833901,6,4,0.125,0,1,0.353553390593,1,1
38,Colorado,B. Brady,0.0,0,0,0.0,0,0,0.333333333333,0,1,0.57735026919,1,1,0.333333333333,0,1,0.57735026919,1,1,1.33333333333,0,2,1.15470053838,4,2,0.0,0,0,0.0,0,0,1.0,0,3,1.73205080757,3,1,0.666666666667,0,1,0.57735026919,2,2,0.333333333333,0,1,0.57735026919,1,1
38,Colorado,D. Collier,2.23076923077,0,7,2.12735540652,29,9,1.84615384615,0,4,1.28102523044,24,11,0.846153846154,0,2,0.800640769025,11,8,21.5384615385,12,32,6.8021489817,280,13,1.53846153846,0,5,1.71344607032,20,8,6.07692307692,0,14,3.79608435236,79,11,5.38461538462,3,8,1.93814608748,70,13,2.15384615385,0,4,1.34450448407,28,11
38,Colorado,E. Stalzer,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.83333333333,0,3,0.98319208025,11,5,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.166666666667,0,1,0.408248290464,1,1,0.166666666667,0,1,0.408248290464,1,1
38,Colorado,G. King,3.23076923077,0,9,2.86222076233,42,11,4.23076923077,0,8,2.48843478763,55,12,1.84615384615,0,5,1.57300952774,24,9,26.4615384615,22,41,5.20601230334,344,13,2.61538461538,0,8,2.59930957302,34,11,12.9230769231,1,23,7.68615138264,168,13,10.1538461538,4,19,4.20012209835,132,13,4.07692307692,1,7,1.55250005161,53,13
