player_team,0,1,2,3,4,5,6
Florida Gators - Urban Klavzar,,11.0,5.0,done,done,done,done
Florida Gators - Viktor Mikic,,2.0,,done,done,done,done
Florida Gators - Xaivian Lee,,10.0,17.0,done,done,done,done
Furman Paladins - Abijah Franklin,,0.0,done,done,done,done,done
Furman Paladins - Alex Wilkins,,21.0,done,done,done,done,done
Furman Paladins - Asa Thomas,,0.0,done,done,done,done,done
Furman Paladins - Ben Vander Wal,,4.0,done,done,done,done,done
Furman Paladins - Charles Johnston,,10.0,done,done,done,done,done
Furman Paladins - Cole Bowser,,6.0,done,done,done,done,done
Furman Paladins - Cooper Bowser,,9.0,done,done,done,done,done
Furman Paladins - Eddrin Bronson,,0.0,done,done,done,done,done
Furman Paladins - Tom House,,21.0,done,done,done,done,done
Georgia Bulldogs - Blue Cain,,6.0,done,done,done,done,done
Georgia Bulldogs - Dylan James,,5.0,done,done,done,done,done
Georgia Bulldogs - Jake Wilkins,,5.0,done,done,done,done,done
Georgia Bulldogs - Jeremiah Wilkinson,,30.0,done,done,done,done,done
Georgia Bulldogs - Jordan Ross,,7.0,done,done,done,done,done
Georgia Bulldogs - Justin Abson,,2.0,done,done,done,done,done
Georgia Bulldogs - Justin Bailey,,4.0,done,done,done,done,done
Georgia Bulldogs - Kanon Catchings,,0.0,done,done,done,done,done
Georgia Bulldogs - Kareem Stagg,,5.0,done,done,done,done,done
Georgia Bulldogs - Marcus Millender,,13.0,done,done,done,done,done
Georgia Bulldogs - Somtochukwu Cyril,,0.0,done,done,done,done,done
Gonzaga Bulldogs - Adam Miller,,2.0,2.0,done,done,done,done
Gonzaga Bulldogs - Braeden Smith,,0.0,0.0,done,done,done,done
Gonzaga Bulldogs - Davis Fogle,,17.0,6.0,done,done,done,done
Gonzaga Bulldogs - Emmanuel Innocenti,,7.0,9.0,done,done,done,done
Gonzaga Bulldogs - Graham Ike,,19.0,25.0,done,done,done,done
Gonzaga Bulldogs - Ismaila Diagne,,0.0,0.0,done,done,done,done
Gonzaga Bulldogs - Jalen Warley,,12.0,10.0,done,done,done,done
Gonzaga Bulldogs - Mario Saint-Supery,,7.0,9.0,done,done,done,done
Gonzaga Bulldogs - Tyon Grant-Foster,,9.0,7.0,done,done,done,done
Hawai'i Rainbow Warriors - AJ Economou,,0.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Dre Bullock,,21.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Gytis Nemeiksa,,5.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Harry Rouhliadeff,,9.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Hunter Carter,,0.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Hunter Erickson,,5.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Isaac Finlinson,,12.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Isaac Johnson,,15.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Isaiah Kerr,,11.0,done,done,done,done,done
Hawai'i Rainbow Warriors - Yacine Toumi,,0.0,done,done,done,done,done
High Point Panthers - Braden Hausen,,6.0,3.0,done,done,done,done
High Point Panthers - Cam'Ron Fletcher,,14.0,25.0,done,done,done,done
High Point Panthers - Chase Johnston,,14.0,9.0,done,done,done,done
High Point Panthers - Conrad Martinez,,0.0,2.0,done,done,done,done
High Point Panthers - Owen Aquino,,11.0,2.0,done,done,done,done
High Point Panthers - Rob Martin,,23.0,30.0,done,done,done,done
High Point Panthers - Scotty Washington,,0.0,0.0,done,done,done,done
High Point Panthers - Terry Anderson,,15.0,15.0,done,done,done,done
High Point Panthers - Vincent Brady II,,,2.0,done,done,done,done
High Point Panthers - Youssouf Singare,,0.0,0.0,done,done,done,done
Hofstra Pride - Biggie Patterson,,11.0,done,done,done,done,done
