,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Maryland,D. Dodd,0.3,0,3,0.948683298051,3,1,1.1,0,3,1.19721899974,11,6,0.0,0,0,0.0,0,0,14.4,3,32,8.79646393602,144,10,0.3,0,3,0.948683298051,3,1,2.5,0,9,3.0276503541,25,6,2.1,0,6,1.91195071996,21,9,0.0,0,0,0.0,0,0
120,Maryland,D. Stone,3.66666666667,0,9,2.5,33,8,5.0,1,9,2.5495097568,45,9,0.0,0,0,0.0,0,0,26.4444444444,21,35,5.10174262167,238,9,2.66666666667,0,8,2.5,24,7,12.6666666667,6,22,5.02493781056,114,9,9.22222222222,3,16,4.81606109227,83,9,0.0,0,0,0.0,0,0
120,Maryland,I. Bender,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0,1.0,1,1,,1,1,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0
120,Maryland,J. Brantley,0.0,0,0,0.0,0,0,0.428571428571,0,2,0.786795792469,3,2,0.285714285714,0,2,0.755928946018,2,1,4.85714285714,1,12,5.20988072252,34,7,0.0,0,0,0.0,0,0,1.14285714286,0,6,2.26778683806,8,2,1.0,0,3,1.41421356237,7,3,0.571428571429,0,3,1.13389341903,4,2
120,Maryland,J. Layman,1.6,0,6,1.77638834593,16,7,3.8,1,7,2.04396129557,38,10,1.2,0,3,1.1352924244,12,7,32.1,28,37,3.38132124078,321,10,1.1,0,5,1.59513148187,11,5,9.9,4,18,4.9988887654,99,10,7.1,3,10,1.96920739837,71,10,2.9,1,5,1.44913767462,29,10
120,Maryland,J. Nickens,0.2,0,2,0.632455532034,2,1,1.0,0,4,1.490711985,10,4,0.9,0,3,1.28668393771,9,4,19.0,12,23,3.43187671366,190,10,0.1,0,1,0.316227766017,1,1,3.0,0,11,4.42216638714,30,4,4.2,1,8,2.57336787542,42,10,3.7,1,6,2.21359436212,37,10
120,Maryland,M. Cekovsky,0.777777777778,0,2,0.971825315808,7,4,0.555555555556,0,2,0.726483157257,5,4,0.0,0,0,0.0,0,0,7.11111111111,2,11,3.01846171271,64,9,0.444444444444,0,2,0.726483157257,4,3,1.55555555556,0,5,1.87823794493,14,5,1.0,0,3,1.11803398875,9,5,0.0,0,0,0.0,0,0
120,Maryland,M. Trimble,3.6,0,10,3.50238014308,36,7,6.1,1,9,2.72641400622,61,10,2.7,0,5,1.4944341181,27,9,36.2,30,39,2.57336787542,362,10,3.1,0,9,2.99814757624,31,7,18.0,2,24,6.96020433927,180,10,13.4,7,17,3.97771570405,134,10,7.2,3,12,3.22490309932,72,10
120,Maryland,R. Carter,2.7,0,6,1.76698110409,27,9,4.0,0,7,1.88561808316,40,9,0.4,0,1,0.516397779494,4,4,27.2,17,32,4.26354052142,272,10,2.1,0,4,1.37032031941,21,8,10.5,4,15,3.53553390593,105,10,9.3,3,12,2.79085809186,93,10,2.2,0,4,1.22927259431,22,9
120,Maryland,R. Sulaimon,2.5,0,10,3.06412938514,25,7,3.6,1,8,2.31900361746,36,10,2.0,0,5,1.76383420738,20,8,34.0,24,39,4.96655480858,340,10,2.1,0,8,2.60128173535,21,6,11.3,4,28,7.43938468184,113,10,9.1,3,18,4.22821212545,91,10,4.8,1,9,3.08400893499,48,10
120,Maryland,V. Ram,0.428571428571,0,3,1.13389341903,3,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.85714285714,1,14,4.74090608177,34,7,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.428571428571,0,2,0.786795792469,3,2,0.285714285714,0,2,0.755928946018,2,1
