,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Iowa State,J. McKay,2.77777777778,0,6,2.53859103529,25,6,3.55555555556,0,7,2.068278941,32,8,0.0,0,0,0.0,0,0,27.7777777778,20,36,6.09872482118,250,9,1.44444444444,0,5,1.58989866903,13,6,8.55555555556,0,19,5.52519481808,77,8,5.55555555556,1,9,2.6509956201,50,9,0.0,0,0,0.0,0,0
66,Iowa State,M. Morris,2.5,0,7,1.78376517003,30,11,4.08333333333,0,9,2.81096338495,49,11,1.08333333333,0,3,0.900336637379,13,9,39.9166666667,36,45,2.71220585614,479,12,2.16666666667,0,6,1.74945879077,26,10,11.4166666667,2,24,6.4731379679,137,12,10.3333333333,5,14,3.36650164612,124,12,3.33333333333,1,7,1.66969421987,40,12
66,Iowa State,M. Thomas,1.5,0,5,1.67874411933,18,7,3.75,2,7,1.42222616792,45,12,2.66666666667,1,5,1.43548112513,32,12,36.6666666667,27,44,4.90516116561,440,12,1.41666666667,0,4,1.50504203102,17,7,11.5833333333,5,20,4.56186431852,139,12,8.08333333333,5,11,2.31431644467,97,12,6.08333333333,2,10,2.31431644467,73,12
66,Iowa State,S. Carter,0.0,0,0,0.0,0,0,0.25,0,1,0.5,1,1,0.0,0,0,0.0,0,0,2.5,1,4,1.73205080757,10,4,0.0,0,0,0.0,0,0,0.5,0,2,1.0,2,1,0.5,0,2,1.0,2,1,0.0,0,0,0.0,0,0
66,Iowa State,S. Nezlek,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0,1.0,1,1,,1,1,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0,0.0,0,0,,0,0
84,Indiana,C. Hartman,0.333333333333,0,2,0.778498944162,4,2,1.83333333333,0,4,1.26730446463,22,10,0.833333333333,0,3,0.937436866561,10,7,24.25,18,32,4.69283786985,291,12,0.333333333333,0,2,0.778498944162,4,2,4.83333333333,0,11,3.09936454875,58,11,4.75,2,8,2.00567377026,57,12,2.75,1,6,1.48477117919,33,12
84,Indiana,H. Niego,0.0,0,0,0.0,0,0,0.2,0,1,0.421637021356,2,2,0.0,0,0,0.0,0,0,5.0,1,8,2.40370085031,50,10,0.0,0,0,0.0,0,0,0.4,0,2,0.843274042712,4,2,0.6,0,2,0.69920589878,6,5,0.4,0,1,0.516397779494,4,4
84,Indiana,J. Morgan,1.33333333333,0,6,1.96946385567,16,5,1.0,0,3,0.852802865422,12,9,0.333333333333,0,1,0.492365963917,4,4,10.0,4,19,4.53270940448,120,12,1.08333333333,0,5,1.62135371797,13,5,3.41666666667,0,12,3.20392751403,41,10,1.75,0,5,1.42222616792,21,10,0.583333333333,0,2,0.792961461099,7,5
84,Indiana,J. Tharp,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,0,1,0.707106781187,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
84,Indiana,M. Bielfeldt,0.166666666667,0,2,0.57735026919,2,1,3.0,1,6,1.47709789175,36,12,1.08333333333,0,3,1.08362466945,13,7,17.8333333333,12,26,4.76413367749,214,12,0.166666666667,0,2,0.57735026919,2,1,7.25,2,15,3.3608710992,87,12,7.25,2,14,3.41454109788,87,12,2.58333333333,0,5,1.78164037455,31,10
