,,,MIN,MIN,MIN,MIN,MIN,MIN,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,PTS,PTS,PTS,PTS,PTS,PTS,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arizona,A. Trier,30.666666666666668,27,35,3.723797345005051,184,6,4.5,3.0,6.0,1.0488088481701516,27.0,6.0,1.6666666666666667,1.0,4.0,1.2110601416389968,10.0,6.0,4.0,1.0,8.0,2.5298221281347035,24.0,6.0,5.333333333333333,2.0,9.0,3.0767948691238205,32.0,6.0,15.0,8,21,5.059644256269407,90,6,4.666666666666667,3.0,6.0,1.2110601416389968,28.0,6.0,11.166666666666666,10.0,14.0,1.6020819787597222,67.0,6.0
12,Arizona,C. Comanche,21.0,14,32,4.96655480858378,210,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,3.0,1.1737877907772674,14.0,7.0,1.8,0.0,5.0,1.6865480854231356,18.0,7.0,7.0,3,13,3.9721250959376615,70,10,2.8,0.0,6.0,2.097617696340303,28.0,9.0,4.8,1.0,11.0,3.0477678535099897,48.0,10.0
12,Arizona,D. Ristic,21.555555555555557,12,28,5.681353516353104,194,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.9364916731037085,18.0,6.0,2.3333333333333335,0.0,6.0,2.3452078799117144,21.0,6.0,10.0,2,16,4.873397172404482,90,9,4.0,1.0,8.0,2.5495097567963922,36.0,9.0,7.888888888888889,5.0,10.0,1.8333333333333333,71.0,9.0
12,Arizona,J. DesJardins,2.0,1,3,1.4142135623730951,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Arizona,K. Allen,32.0,25,37,4.65985898008574,256,8,3.375,2.0,8.0,2.1339098923270936,27.0,8.0,1.25,0.0,4.0,1.2817398889233114,10.0,6.0,1.5,0.0,3.0,0.9258200997725514,12.0,7.0,1.875,0.0,4.0,1.246423454758225,15.0,7.0,9.25,3,14,3.2841611235921855,74,8,3.25,1.0,5.0,1.2817398889233116,26.0,8.0,8.375,3.0,15.0,3.7772817134623597,67.0,8.0
12,Arizona,K. Jones,2.0,2,2,,2,1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3,3,,3,1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
12,Arizona,K. Pinder,10.4,4,25,7.515909052728677,104,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.48304589153964794,3.0,3.0,0.7,0.0,3.0,1.1595018087284057,7.0,3.0,1.7,0,4,1.5670212364724212,17,6,0.7,0.0,2.0,0.6749485577105528,7.0,6.0,1.4,0.0,3.0,1.1737877907772671,14.0,8.0
12,Arizona,K. Simmons,26.0,5,37,8.640987597877148,260,10,2.9,0.0,6.0,1.7919573407620817,29.0,9.0,1.0,0.0,3.0,1.0540925533894598,10.0,6.0,1.5,0.0,6.0,1.9578900207451218,15.0,5.0,1.8,0.0,6.0,1.9888578520235065,18.0,6.0,9.7,0,20,7.196449741983119,97,9,3.6,0.0,8.0,2.716206504995115,36.0,9.0,9.1,0.0,15.0,4.5570458267025,91.0,9.0
12,Arizona,L. Markkanen,28.7,21,35,5.313504806936128,287,10,3.8,2.0,6.0,1.2292725943057183,38.0,10.0,1.6,0.0,5.0,1.6465452046971292,16.0,7.0,3.4,0.0,8.0,2.1705094128132942,34.0,9.0,3.8,0.0,9.0,2.485513584307633,38.0,9.0,14.4,4,26,7.105553383719588,144,10,4.7,1.0,9.0,2.79085809185793,47.0,10.0,9.5,4.0,17.0,4.169998667732268,95.0,10.0
12,Arizona,P. Cruz,3.0,3,3,,3,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
