team_id,team_name_x,player,PTS
62,Hawai'i Rainbow Warriors,Harry Rouhliadeff,10.464285714285714
62,Hawai'i Rainbow Warriors,Hunter Carter,1.2727272727272727
62,Hawai'i Rainbow Warriors,Hunter Erickson,8.333333333333334
62,Hawai'i Rainbow Warriors,Isaac Finlinson,9.333333333333334
62,Hawai'i Rainbow Warriors,Isaac Johnson,14.3
62,Hawai'i Rainbow Warriors,Isaiah Kerr,6.482758620689655
62,Hawai'i Rainbow Warriors,Jalen Myers,2.1666666666666665
62,Hawai'i Rainbow Warriors,Yacine Toumi,4.111111111111111
66,Iowa State Cyclones,Anthony Rise,0.2
66,Iowa State Cyclones,Blake Buchanan,8.441176470588236
66,Iowa State Cyclones,Cade Kelderman,0.9411764705882353
66,Iowa State Cyclones,Dominick Nelson,3.7142857142857144
66,Iowa State Cyclones,Dominykas Pleta,4.46875
66,Iowa State Cyclones,Eric Mulder,0.8947368421052632
66,Iowa State Cyclones,Jamarion Batemon,6.852941176470588
66,Iowa State Cyclones,Joshua Jefferson,16.852941176470587
66,Iowa State Cyclones,Killyan Toure,8.058823529411764
66,Iowa State Cyclones,Milan Momcilovic,17.08823529411765
66,Iowa State Cyclones,Nate Heise,4.676470588235294
66,Iowa State Cyclones,Tamin Lipsey,13.258064516129032
66,Iowa State Cyclones,Xzavion Mitchell,1.0
70,Idaho Vandals,Aidan Sevilla,1.263157894736842
70,Idaho Vandals,Biko Johnson,12.65625
70,Idaho Vandals,Brody Rowbury,8.03125
70,Idaho Vandals,Ewan Steele,0.36363636363636365
70,Idaho Vandals,Isaiah Brickner,12.35483870967742
70,Idaho Vandals,Jack Payne,7.066666666666666
70,Idaho Vandals,Jackson Rasmussen,13.258064516129032
70,Idaho Vandals,Kolton Mitchell,13.620689655172415
70,Idaho Vandals,Kristian Gonzalez,18.0
70,Idaho Vandals,Miles Klapper,2.769230769230769
70,Idaho Vandals,Seth Joba,5.09375
70,Idaho Vandals,Trevon Blassingame,3.5161290322580645
96,Kentucky Wildcats,Andrija Jelavic,5.766666666666667
96,Kentucky Wildcats,Brandon Garrison,4.617647058823529
96,Kentucky Wildcats,Collin Chandler,9.941176470588236
96,Kentucky Wildcats,Denzel Aberdeen,13.205882352941176
96,Kentucky Wildcats,Jaland Lowe,8.0
96,Kentucky Wildcats,Jasper Johnson,5.151515151515151
96,Kentucky Wildcats,Jayden Quaintance,5.0
96,Kentucky Wildcats,Kam Williams,6.2272727272727275
96,Kentucky Wildcats,Malachi Moreno,8.029411764705882
96,Kentucky Wildcats,Mouhamed Dioubate,8.689655172413794
96,Kentucky Wildcats,Otega Oweh,18.176470588235293
96,Kentucky Wildcats,Trent Noah,2.962962962962963
96,Kentucky Wildcats,Walker Horn,0.42857142857142855
96,Kentucky Wildcats,Zach Tow,0.5714285714285714
97,Louisville Cardinals,Adrian Wooley,8.545454545454545
97,Louisville Cardinals,Aly Khalifa,3.1818181818181817
97,Louisville Cardinals,Cole Sherman,1.2
97,Louisville Cardinals,Isaac McKneely,10.636363636363637
97,Louisville Cardinals,J'Vonne Hadley,11.84375
97,Louisville Cardinals,Kasean Pryor,2.3181818181818183
97,Louisville Cardinals,Khani Rooths,5.482758620689655
