team_player,team_name,player,seed,games_played,ppg,weighted_ppg,exp_games,proj_pts,w_proj_pts,home_ppg,away_ppg,home_away_diff,max_pts_l15,three_pm,three_pa,kenpom_exp_games,kenpom_proj,kenpom_nl_exp_games,kenpom_nl_proj
Illinois Fighting Illini - Andrej Stojakovic,Illinois Fighting Illini,Andrej Stojakovic,3,29,13.45,13.39,3.0,40.35,40.17,15.53,10.5,5.03,30,0.62,2.59,3.65,48.87,3.463,46.37
Iowa State Cyclones - Tamin Lipsey,Iowa State Cyclones,Tamin Lipsey,2,31,13.26,12.95,3.7,49.06,47.92,12.94,13.69,-0.75,20,1.23,3.94,3.85,49.86,3.572,46.26
Vanderbilt Commodores - Tyler Tanner,Vanderbilt Commodores,Tyler Tanner,5,34,19.09,17.81,2.1,40.09,37.4,18.84,19.4,-0.56,23,1.59,4.26,2.68,47.73,2.586,46.06
Duke Blue Devils - Patrick Ngongba II,Duke Blue Devils,Patrick Ngongba II,1,29,10.69,10.43,4.3,45.97,44.85,11.39,9.55,1.84,17,0.28,1.0,5.1,53.19,4.394,45.83
Florida Gators - Xaivian Lee,Florida Gators,Xaivian Lee,1,33,11.48,12.14,4.3,49.36,52.2,11.38,11.67,-0.29,24,1.55,5.48,4.11,49.9,3.768,45.74
Vanderbilt Commodores - Duke Miles,Vanderbilt Commodores,Duke Miles,5,26,16.54,17.65,2.1,34.73,37.06,16.14,17.0,-0.86,30,1.77,4.81,2.68,47.3,2.586,45.64
Michigan Wolverines - Trey McKenney,Michigan Wolverines,Trey McKenney,1,34,9.56,10.38,4.3,41.11,44.63,10.68,7.5,3.18,21,1.65,4.38,4.82,50.03,4.392,45.59
Purdue Boilermakers - Braden Smith,Purdue Boilermakers,Braden Smith,2,35,14.0,12.9,3.7,51.8,47.73,14.05,13.93,0.12,20,1.63,4.46,3.75,48.38,3.503,45.19
Arizona Wildcats - Motiejus Krivas,Arizona Wildcats,Motiejus Krivas,1,34,10.47,10.07,4.3,45.02,43.3,10.64,10.17,0.47,17,0.12,0.35,4.96,49.95,4.359,43.9
Alabama Crimson Tide - Aden Holloway,Alabama Crimson Tide,Aden Holloway,4,28,16.82,17.23,2.6,43.73,44.8,17.82,15.27,2.55,26,2.64,6.04,2.58,44.45,2.54,43.76
Michigan Wolverines - Elliot Cadeau,Michigan Wolverines,Elliot Cadeau,1,34,10.18,9.91,4.3,43.77,42.61,10.64,9.33,1.3,17,1.56,4.18,4.82,47.77,4.392,43.52
Florida Gators - Boogie Fland,Florida Gators,Boogie Fland,1,33,11.61,11.51,4.3,49.92,49.49,11.38,12.0,-0.62,18,0.85,3.64,4.11,47.31,3.768,43.37
Louisville Cardinals - Ryan Conwell,Louisville Cardinals,Ryan Conwell,6,32,18.72,18.79,2.0,37.44,37.58,18.33,19.21,-0.88,31,3.28,9.59,2.31,43.4,2.304,43.29
Texas Tech Red Raiders - Christian Anderson,Texas Tech Red Raiders,Christian Anderson,5,31,18.9,18.18,2.1,39.69,38.18,20.0,17.38,2.62,31,3.39,7.97,2.42,44.0,2.377,43.21
UConn Huskies - Tarris Reed Jr.,UConn Huskies,Tarris Reed Jr.,2,29,13.72,13.54,3.7,50.76,50.1,13.22,14.55,-1.32,20,0.0,0.1,3.28,44.41,3.155,42.72
Louisville Cardinals - Mikel Brown Jr.,Louisville Cardinals,Mikel Brown Jr.,6,21,18.19,18.46,2.0,36.38,36.92,17.85,18.75,-0.9,45,2.62,7.62,2.31,42.64,2.304,42.53
Arkansas Razorbacks - Meleek Thomas,Arkansas Razorbacks,Meleek Thomas,4,34,15.29,15.46,2.6,39.75,40.2,14.58,17.0,-2.42,29,2.26,5.38,2.73,42.21,2.727,42.16
Tennessee Volunteers - Ja'Kobi Gillespie,Tennessee Volunteers,Ja'Kobi Gillespie,6,33,18.0,18.05,2.0,36.0,36.1,18.71,16.75,1.96,32,2.67,8.03,2.35,42.42,2.334,42.13
Virginia Cavaliers - Thijs De Ridder,Virginia Cavaliers,Thijs De Ridder,3,34,15.53,14.97,3.0,46.59,44.91,15.64,15.33,0.3,32,1.03,3.03,2.81,42.07,2.799,41.9
St. John's Red Storm - Zuby Ejiofor,St. John's Red Storm,Zuby Ejiofor,5,34,16.32,16.71,2.1,34.27,35.09,17.05,15.15,1.89,25,0.44,1.38,2.54,42.44,2.47,41.27
Arizona Wildcats - Anthony Dell'Orso,Arizona Wildcats,Anthony Dell'Orso,1,34,8.97,9.39,4.3,38.57,40.38,9.55,7.92,1.63,26,1.32,4.03,4.96,46.57,4.359,40.93
Florida Gators - Rueben Chinyelu,Florida Gators,Rueben Chinyelu,1,33,11.15,10.81,4.3,47.94,46.48,12.05,9.58,2.46,16,0.0,0.06,4.11,44.43,3.768,40.73
Tennessee Volunteers - Nate Ament,Tennessee Volunteers,Nate Ament,6,31,17.52,17.18,2.0,35.04,34.36,17.9,16.82,1.08,27,1.35,4.1,2.35,40.37,2.334,40.1
Arizona Wildcats - Tobe Awaka,Arizona Wildcats,Tobe Awaka,1,34,9.44,9.15,4.3,40.59,39.34,9.68,9.0,0.68,25,0.15,0.29,4.96,45.38,4.359,39.88
Illinois Fighting Illini - Kylan Boswell,Illinois Fighting Illini,Kylan Boswell,3,25,13.16,11.47,3.0,39.48,34.41,12.56,14.22,-1.66,17,1.28,4.12,3.65,41.87,3.463,39.72
Purdue Boilermakers - Oscar Cluff,Purdue Boilermakers,Oscar Cluff,2,35,10.63,11.2,3.7,39.33,41.44,11.1,9.93,1.17,21,0.0,0.0,3.75,42.0,3.503,39.23
UConn Huskies - Solo Ball,UConn Huskies,Solo Ball,2,33,13.52,12.36,3.7,50.02,45.73,14.59,11.36,3.23,24,2.06,6.73,3.28,40.54,3.155,39.0
Houston Cougars - Milos Uzan,Houston Cougars,Milos Uzan,2,34,11.12,11.05,3.7,41.14,40.89,11.82,9.83,1.98,26,1.91,5.53,3.82,42.21,3.52,38.9
Nebraska Cornhuskers - Rienk Mast,Nebraska Cornhuskers,Rienk Mast,4,31,13.55,14.41,2.6,35.23,37.47,13.71,13.2,0.51,31,1.52,4.68,2.64,38.04,2.697,38.86
Michigan Wolverines - Nimari Burnett,Michigan Wolverines,Nimari Burnett,1,34,8.26,8.81,4.3,35.52,37.88,9.32,6.33,2.98,31,1.53,4.06,4.82,42.46,4.392,38.69
Michigan State Spartans - Jaxon Kohler,Michigan State Spartans,Jaxon Kohler,3,32,12.66,12.79,3.0,37.98,38.37,12.79,12.46,0.33,23,1.62,4.12,3.12,39.9,2.986,38.19
UConn Huskies - Braylon Mullins,UConn Huskies,Braylon Mullins,2,27,11.96,12.09,3.7,44.25,44.73,11.27,12.83,-1.57,25,2.22,6.44,3.28,39.66,3.155,38.14
Michigan Wolverines - L.J. Cason,Michigan Wolverines,L.J. Cason,1,28,8.36,8.52,4.3,35.95,36.64,7.76,9.27,-1.51,18,1.18,2.93,4.82,41.07,4.392,37.42
UConn Huskies - Alex Karaban,UConn Huskies,Alex Karaban,2,34,12.65,11.75,3.7,46.81,43.48,12.59,12.75,-0.16,23,1.79,4.65,3.28,38.54,3.155,37.07
BYU Cougars - Robert Wright III,BYU Cougars,Robert Wright III,6,34,18.18,18.69,2.0,36.36,37.38,17.35,19.36,-2.01,39,1.68,3.97,1.92,35.88,1.964,36.71
Saint Mary's Gaels - Paulius Murauskas,Saint Mary's Gaels,Paulius Murauskas,7,31,18.84,19.45,1.9,35.8,36.96,19.12,18.5,0.62,32,1.1,3.35,1.8,35.01,1.878,36.53
Arkansas Razorbacks - Trevon Brazile,Arkansas Razorbacks,Trevon Brazile,4,33,13.24,13.38,2.6,34.42,34.79,14.04,11.4,2.64,26,1.24,3.45,2.73,36.53,2.727,36.49
North Carolina Tar Heels - Caleb Wilson,North Carolina Tar Heels,Caleb Wilson,6,24,19.83,19.9,2.0,39.66,39.8,20.69,18.12,2.56,26,0.29,1.12,1.74,34.63,1.811,36.04
Iowa Hawkeyes - Bennett Stirtz,Iowa Hawkeyes,Bennett Stirtz,9,33,20.03,20.12,1.4,28.04,28.17,20.2,19.77,0.43,36,2.48,6.61,1.74,35.01,1.791,36.03
Duke Blue Devils - Cayden Boozer,Duke Blue Devils,Cayden Boozer,1,34,7.09,8.17,4.3,30.49,35.13,8.41,4.67,3.74,16,0.5,1.74,5.1,41.67,4.394,35.9
Illinois Fighting Illini - Tomislav Ivisic,Illinois Fighting Illini,Tomislav Ivisic,3,29,10.0,10.34,3.0,30.0,31.02,9.82,10.25,-0.43,21,1.48,4.72,3.65,37.74,3.463,35.81
Michigan State Spartans - Coen Carr,Michigan State Spartans,Coen Carr,3,32,11.56,11.91,3.0,34.68,35.73,12.95,9.54,3.41,22,0.56,2.09,3.12,37.16,2.986,35.56
Virginia Cavaliers - Malik Thomas,Virginia Cavaliers,Malik Thomas,3,34,12.44,12.63,3.0,37.32,37.89,11.91,13.42,-1.51,18,1.79,5.24,2.81,35.49,2.799,35.35
BYU Cougars - Richie Saunders,BYU Cougars,Richie Saunders,6,25,18.04,17.99,2.0,36.08,35.98,17.12,19.67,-2.54,33,2.56,6.8,1.92,34.54,1.964,35.33
Texas Tech Red Raiders - Donovan Atwell,Texas Tech Red Raiders,Donovan Atwell,5,32,13.5,14.8,2.1,28.35,31.08,14.11,12.62,1.49,26,3.88,8.53,2.42,35.82,2.377,35.18
Gonzaga Bulldogs - Tyon Grant-Foster,Gonzaga Bulldogs,Tyon Grant-Foster,3,33,11.24,11.4,3.0,33.72,34.2,10.42,12.36,-1.94,20,0.48,1.88,3.13,35.68,3.079,35.1
UCLA Bruins - Tyler Bilodeau,UCLA Bruins,Tyler Bilodeau,7,31,17.65,17.05,1.9,33.53,32.4,16.95,18.75,-1.8,32,2.06,4.45,2.01,34.27,2.041,34.8
