team_player,team_name,player,seed,games_played,ppg,weighted_ppg,exp_games,proj_pts,w_proj_pts,home_ppg,away_ppg,home_away_diff,max_pts_l15,three_pm,three_pa,kenpom_exp_games,kenpom_proj,kenpom_nl_exp_games,kenpom_nl_proj
UCLA Bruins - Eric Dailey Jr.,UCLA Bruins,Eric Dailey Jr.,7,33,11.33,11.81,1.9,21.53,22.44,12.2,10.0,2.2,20,0.85,2.73,2.01,23.74,2.041,24.1
Texas Tech Red Raiders - LeJuan Watts,Texas Tech Red Raiders,LeJuan Watts,5,31,11.55,10.14,2.1,24.26,21.29,13.22,9.23,3.99,20,0.77,2.35,2.42,24.54,2.377,24.1
Arkansas Razorbacks - Karter Knox,Arkansas Razorbacks,Karter Knox,4,22,8.09,8.83,2.6,21.03,22.96,8.76,5.8,2.96,20,1.18,3.14,2.73,24.11,2.727,24.08
Vanderbilt Commodores - Devin McGlockton,Vanderbilt Commodores,Devin McGlockton,5,34,9.59,9.29,2.1,20.14,19.51,9.84,9.27,0.58,22,0.79,2.68,2.68,24.9,2.586,24.02
Miami Hurricanes - Shelton Henderson,Miami Hurricanes,Shelton Henderson,7,33,13.67,12.71,1.9,25.97,24.15,13.5,13.92,-0.42,19,0.39,1.45,1.84,23.39,1.888,24.0
Virginia Cavaliers - Jacari White,Virginia Cavaliers,Jacari White,3,29,8.76,8.56,3.0,26.28,25.68,10.0,6.4,3.6,19,2.1,4.9,2.81,24.05,2.799,23.96
Ohio State Buckeyes - Devin Royal,Ohio State Buckeyes,Devin Royal,8,31,13.68,13.43,1.5,20.52,20.14,14.05,13.0,1.05,25,1.0,3.13,1.73,23.23,1.784,23.96
Illinois Fighting Illini - Jake Davis,Illinois Fighting Illini,Jake Davis,3,32,5.84,6.9,3.0,17.52,20.7,5.85,5.83,0.02,15,1.62,3.94,3.65,25.18,3.463,23.89
Nebraska Cornhuskers - Sam Hoiberg,Nebraska Cornhuskers,Sam Hoiberg,4,32,9.59,8.82,2.6,24.93,22.93,9.81,9.18,0.63,15,1.0,2.5,2.64,23.28,2.697,23.79
Virginia Cavaliers - Chance Mallory,Virginia Cavaliers,Chance Mallory,3,34,9.5,8.5,3.0,28.5,25.5,9.55,9.42,0.13,17,1.12,3.21,2.81,23.88,2.799,23.79
Illinois Fighting Illini - Zvonimir Ivisic,Illinois Fighting Illini,Zvonimir Ivisic,3,32,7.0,6.86,3.0,21.0,20.58,7.2,6.67,0.53,13,0.88,2.91,3.65,25.04,3.463,23.76
Hofstra Pride - Cruz Davis,Hofstra Pride,Cruz Davis,13,32,20.28,19.96,1.2,24.34,23.95,17.93,22.11,-4.18,36,2.38,5.91,1.06,21.16,1.188,23.71
Texas Tech Red Raiders - Jaylen Petty,Texas Tech Red Raiders,Jaylen Petty,5,31,9.45,9.97,2.1,19.84,20.94,10.61,7.85,2.76,18,2.06,5.55,2.42,24.13,2.377,23.7
SMU Mustangs - Jaron Pierre Jr.,SMU Mustangs,Jaron Pierre Jr.,11,33,17.61,17.64,1.6,28.18,28.22,19.55,14.62,4.93,28,2.39,6.33,2.06,36.34,1.336,23.57
Louisville Cardinals - Isaac McKneely,Louisville Cardinals,Isaac McKneely,6,33,10.64,10.2,2.0,21.28,20.4,12.68,7.86,4.83,16,2.61,6.85,2.31,23.56,2.304,23.5
Kentucky Wildcats - Denzel Aberdeen,Kentucky Wildcats,Denzel Aberdeen,7,34,13.21,13.16,1.9,25.1,25.0,11.68,16.0,-4.32,26,1.59,4.53,1.69,22.24,1.777,23.39
Vanderbilt Commodores - AK Okereke,Vanderbilt Commodores,AK Okereke,5,34,9.74,8.99,2.1,20.45,18.88,10.89,8.27,2.63,16,1.03,2.71,2.68,24.09,2.586,23.25
Miami Hurricanes - Tru Washington,Miami Hurricanes,Tru Washington,7,29,12.07,12.28,1.9,22.93,23.33,11.47,12.92,-1.45,17,1.21,3.31,1.84,22.6,1.888,23.18
Gonzaga Bulldogs - Adam Miller,Gonzaga Bulldogs,Adam Miller,3,33,7.58,7.49,3.0,22.74,22.47,7.0,8.36,-1.36,21,1.18,3.85,3.13,23.44,3.079,23.06
Georgia Bulldogs - Blue Cain,Georgia Bulldogs,Blue Cain,8,32,13.28,13.6,1.5,19.92,20.4,13.62,12.64,0.98,22,1.41,4.56,1.62,22.03,1.672,22.74
Saint Mary's Gaels - Joshua Dent,Saint Mary's Gaels,Joshua Dent,7,31,12.65,12.03,1.9,24.04,22.86,11.65,13.86,-2.21,22,1.68,4.29,1.8,21.65,1.878,22.59
McNeese Cowboys - Larry Johnson,McNeese Cowboys,Larry Johnson,12,31,16.84,18.38,1.6,26.94,29.41,17.73,16.0,1.73,27,0.77,3.06,1.07,19.67,1.228,22.57
Illinois Fighting Illini - Ben Humrichous,Illinois Fighting Illini,Ben Humrichous,3,32,6.09,6.5,3.0,18.27,19.5,6.6,5.25,1.35,21,1.56,4.44,3.65,23.72,3.463,22.51
Arkansas Razorbacks - D.J. Wagner,Arkansas Razorbacks,D.J. Wagner,4,32,7.59,8.24,2.6,19.73,21.42,7.88,6.75,1.12,16,1.12,3.12,2.73,22.5,2.727,22.47
UCLA Bruins - Skyy Clark,UCLA Bruins,Skyy Clark,7,24,11.67,10.99,1.9,22.17,20.88,12.07,11.0,1.07,30,2.12,4.92,2.01,22.09,2.041,22.43
VCU Rams - Terrence Hill Jr.,VCU Rams,Terrence Hill Jr.,11,34,14.35,14.68,1.6,22.96,23.49,15.36,12.5,2.86,24,2.09,5.88,1.39,20.41,1.519,22.3
Prairie View A&M Panthers - Dontae Horne,Prairie View A&M Panthers,Dontae Horne,16,31,20.94,21.82,1.0,20.94,21.82,21.82,20.45,1.37,32,1.39,4.45,1.49,32.51,1.001,21.84
TCU Horned Frogs - David Punch,TCU Horned Frogs,David Punch,9,32,14.31,14.94,1.4,20.03,20.92,14.0,14.91,-0.91,26,0.34,1.34,1.33,19.87,1.454,21.72
St. John's Red Storm - Joson Sanon,St. John's Red Storm,Joson Sanon,5,34,8.29,8.78,2.1,17.41,18.44,8.95,7.23,1.72,16,1.32,3.85,2.54,22.3,2.47,21.69
Villanova Wildcats - Tyler Perkins,Villanova Wildcats,Tyler Perkins,8,32,13.66,13.68,1.5,20.49,20.52,14.89,11.85,3.05,21,1.97,5.38,1.49,20.38,1.582,21.64
Lehigh Mountain Hawks - Nasir Whitlock,Lehigh Mountain Hawks,Nasir Whitlock,16,32,20.88,21.51,1.0,20.88,21.51,24.06,17.69,6.38,33,2.28,5.09,1.51,32.48,1.001,21.53
Santa Clara Broncos - Elijah Mahi,Santa Clara Broncos,Elijah Mahi,10,33,13.91,13.44,1.6,22.26,21.5,13.32,14.71,-1.4,30,1.52,4.48,1.47,19.76,1.589,21.36
Texas Longhorns - Dailyn Swain,Texas Longhorns,Dailyn Swain,11,32,17.81,16.74,1.6,28.5,26.78,17.7,18.0,-0.3,26,0.91,2.62,1.67,27.96,1.274,21.33
UCF Knights - Themus Fulks,UCF Knights,Themus Fulks,10,32,14.09,14.45,1.6,22.54,23.12,14.33,13.64,0.7,24,0.62,1.53,1.28,18.5,1.45,20.95
Kennesaw State Owls - Simeon Cottle,Kennesaw State Owls,Simeon Cottle,14,14,20.64,20.13,1.2,24.77,24.16,22.71,18.57,4.14,33,2.93,8.5,1.0,20.13,1.04,20.94
Texas A&M Aggies - Rashaun Agee,Texas A&M Aggies,Rashaun Agee,10,32,14.66,13.87,1.6,23.46,22.19,13.74,16.0,-2.26,26,0.62,2.47,1.36,18.86,1.508,20.92
St. John's Red Storm - Ian Jackson,St. John's Red Storm,Ian Jackson,5,33,9.58,8.39,2.1,20.12,17.62,9.5,9.69,-0.19,19,1.36,3.85,2.54,21.31,2.47,20.72
UCF Knights - Riley Kugel,UCF Knights,Riley Kugel,10,30,14.4,14.2,1.6,23.04,22.72,14.67,13.78,0.89,26,1.87,4.77,1.28,18.18,1.45,20.59
High Point Panthers - Terry Anderson,High Point Panthers,Terry Anderson,12,31,16.32,17.06,1.6,26.11,27.3,16.75,15.55,1.2,25,0.55,1.94,1.07,18.25,1.197,20.42
Santa Clara Broncos - Allen Graves,Santa Clara Broncos,Allen Graves,10,33,11.76,12.84,1.6,18.82,20.54,10.53,13.43,-2.9,30,1.09,2.67,1.47,18.87,1.589,20.4
Duke Blue Devils - Maliq Brown,Duke Blue Devils,Maliq Brown,1,34,4.82,4.64,4.3,20.73,19.95,5.5,3.58,1.92,15,0.15,0.85,5.1,23.66,4.394,20.39
High Point Panthers - Rob Martin,High Point Panthers,Rob Martin,12,30,16.0,16.94,1.6,25.6,27.1,16.05,15.91,0.14,27,1.27,4.43,1.07,18.13,1.197,20.28
South Florida Bulls - Izaiyah Nelson,South Florida Bulls,Izaiyah Nelson,11,32,15.41,14.58,1.6,24.66,23.33,15.59,15.2,0.39,25,0.19,1.38,1.21,17.64,1.376,20.06
Texas Longhorns - Matas Vokietaitis,Texas Longhorns,Matas Vokietaitis,11,32,15.5,15.73,1.6,24.8,25.17,16.35,14.08,2.27,28,0.0,0.0,1.67,26.27,1.274,20.04
Vanderbilt Commodores - Frankie Collins,Vanderbilt Commodores,Frankie Collins,5,9,7.78,7.74,2.1,16.34,16.25,6.17,11.0,-4.83,17,0.44,1.78,2.68,20.74,2.586,20.02
Gonzaga Bulldogs - Emmanuel Innocenti,Gonzaga Bulldogs,Emmanuel Innocenti,3,33,5.85,6.49,3.0,17.55,19.47,5.63,6.14,-0.51,16,0.64,2.27,3.13,20.31,3.079,19.98
UConn Huskies - Eric Reibe,UConn Huskies,Eric Reibe,2,34,6.79,6.33,3.7,25.12,23.42,8.18,4.25,3.93,14,0.12,0.38,3.28,20.76,3.155,19.97
VCU Rams - Lazar Djokovic,VCU Rams,Lazar Djokovic,11,33,13.52,13.11,1.6,21.63,20.98,12.59,15.36,-2.77,26,0.64,1.79,1.39,18.22,1.519,19.91
Villanova Wildcats - Duke Brennan,Villanova Wildcats,Duke Brennan,8,31,12.35,12.58,1.5,18.52,18.87,12.44,12.23,0.21,21,0.0,0.0,1.49,18.74,1.582,19.9
Gonzaga Bulldogs - Jalen Warley,Gonzaga Bulldogs,Jalen Warley,3,31,6.81,6.44,3.0,20.43,19.32,6.67,7.0,-0.33,19,0.0,0.0,3.13,20.16,3.079,19.83
Saint Louis Billikens - Robbie Avila,Saint Louis Billikens,Robbie Avila,9,32,12.91,13.12,1.4,18.07,18.37,13.41,11.8,1.61,23,1.81,4.47,1.43,18.76,1.506,19.76
Virginia Cavaliers - Ugonna Onyenso,Virginia Cavaliers,Ugonna Onyenso,3,34,6.71,7.04,3.0,20.13,21.12,7.36,5.5,1.86,17,0.29,1.03,2.81,19.78,2.799,19.7
Wisconsin Badgers - Braeden Carrington,Wisconsin Badgers,Braeden Carrington,5,33,8.36,8.31,2.1,17.56,17.45,5.95,11.64,-5.7,32,2.06,5.12,2.36,19.61,2.366,19.66
Louisville Cardinals - Adrian Wooley,Louisville Cardinals,Adrian Wooley,6,33,8.55,8.48,2.0,17.1,16.96,8.11,9.14,-1.04,17,1.12,3.27,2.31,19.59,2.304,19.54
Tennessee Volunteers - Felix Okpara,Tennessee Volunteers,Felix Okpara,6,31,7.68,8.3,2.0,15.36,16.6,7.95,7.25,0.7,20,0.13,0.35,2.35,19.51,2.334,19.37
Hofstra Pride - Preston Edmead,Hofstra Pride,Preston Edmead,13,32,16.22,16.25,1.2,19.46,19.5,17.57,15.17,2.4,26,2.69,7.0,1.06,17.23,1.188,19.3
TCU Horned Frogs - Xavier Edmonds,TCU Horned Frogs,Xavier Edmonds,9,33,12.64,13.2,1.4,17.7,18.48,12.29,13.25,-0.96,26,0.64,1.55,1.33,17.56,1.454,19.19
NC State Wolfpack - Ven-Allen Lubin,NC State Wolfpack,Ven-Allen Lubin,11,33,13.88,14.76,1.6,22.21,23.62,12.75,15.62,-2.87,24,0.09,0.33,1.75,25.83,1.299,19.17
Pennsylvania Quakers - TJ Power,Pennsylvania Quakers,TJ Power,14,28,17.14,18.51,1.2,20.57,22.21,16.77,17.47,-0.7,44,2.75,6.18,1.0,18.51,1.034,19.14
Georgia Bulldogs - Kanon Catchings,Georgia Bulldogs,Kanon Catchings,8,31,11.97,11.36,1.5,17.96,17.04,11.7,12.45,-0.75,32,2.19,5.68,1.62,18.4,1.672,18.99
UCF Knights - Jordan Burks,UCF Knights,Jordan Burks,10,32,13.03,13.08,1.6,20.85,20.93,13.19,12.73,0.46,24,1.69,4.69,1.28,16.74,1.45,18.97
Nebraska Cornhuskers - Ugnius Jarusevicius,Nebraska Cornhuskers,Ugnius Jarusevicius,4,1,7.0,7.0,2.6,18.2,18.2,7.0,,,7,1.0,1.0,2.64,18.48,2.697,18.88
Georgia Bulldogs - Marcus Millender,Georgia Bulldogs,Marcus Millender,8,32,11.94,11.29,1.5,17.91,16.93,12.05,11.73,0.32,22,1.84,4.69,1.62,18.29,1.672,18.88
Furman Paladins - Alex Wilkins,Furman Paladins,Alex Wilkins,15,31,18.06,18.05,1.1,19.87,19.86,21.07,15.25,5.82,34,1.74,5.61,1.0,18.05,1.045,18.86
NC State Wolfpack - Paul McNeil Jr.,NC State Wolfpack,Paul McNeil Jr.,11,33,13.91,14.52,1.6,22.26,23.23,13.7,14.23,-0.53,28,3.09,7.21,1.75,25.41,1.299,18.86
South Florida Bulls - Joseph Pinion,South Florida Bulls,Joseph Pinion,11,32,14.5,13.7,1.6,23.2,21.92,15.06,13.87,1.19,24,3.25,8.47,1.21,16.58,1.376,18.85
St. John's Red Storm - Dillon Mitchell,St. John's Red Storm,Dillon Mitchell,5,34,8.24,7.63,2.1,17.3,16.02,9.1,6.85,2.25,13,0.0,0.35,2.54,19.38,2.47,18.85
Ohio State Buckeyes - Christoph Tilly,Ohio State Buckeyes,Christoph Tilly,8,31,11.03,10.56,1.5,16.54,15.84,11.65,9.91,1.74,19,0.42,1.77,1.73,18.27,1.784,18.84
Florida Gators - Isaiah Brown,Florida Gators,Isaiah Brown,1,31,5.52,5.0,4.3,23.74,21.5,4.71,7.2,-2.49,9,0.55,1.65,4.11,20.55,3.768,18.84
Clemson Tigers - RJ Godfrey,Clemson Tigers,RJ Godfrey,8,34,11.94,12.15,1.5,17.91,18.23,11.21,12.87,-1.66,22,0.06,0.26,1.41,17.13,1.548,18.81
Villanova Wildcats - Bryce Lindsay,Villanova Wildcats,Bryce Lindsay,8,32,11.91,11.87,1.5,17.87,17.8,13.47,9.62,3.86,27,2.25,6.5,1.49,17.69,1.582,18.78
NC State Wolfpack - Quadir Copeland,NC State Wolfpack,Quadir Copeland,11,33,13.88,14.38,1.6,22.21,23.01,14.6,12.77,1.83,28,0.7,1.76,1.75,25.17,1.299,18.68
Purdue Boilermakers - Omer Mayer,Purdue Boilermakers,Omer Mayer,2,35,5.69,5.33,3.7,21.05,19.72,6.95,3.79,3.17,18,1.09,2.94,3.75,19.99,3.503,18.67
Idaho Vandals - Kristian Gonzalez,Idaho Vandals,Kristian Gonzalez,15,1,18.0,18.0,1.1,19.8,19.8,,18.0,,18,3.0,4.0,1.0,18.0,1.035,18.63
Kansas Jayhawks - Bryson Tiller,Kansas Jayhawks,Bryson Tiller,4,33,8.21,7.44,2.6,21.35,19.34,10.0,5.79,4.21,21,0.42,1.55,2.49,18.53,2.503,18.62
Villanova Wildcats - Acaden Lewis,Villanova Wildcats,Acaden Lewis,8,32,12.31,11.71,1.5,18.46,17.57,12.53,12.0,0.53,21,0.81,3.0,1.49,17.45,1.582,18.53
Siena Saints - Gavin Doty,Siena Saints,Gavin Doty,16,34,17.88,18.31,1.0,17.88,18.31,17.06,18.61,-1.55,26,1.26,3.79,1.0,18.31,1.01,18.49
Louisville Cardinals - Sananda Fru,Louisville Cardinals,Sananda Fru,6,33,9.18,8.0,2.0,18.36,16.0,9.05,9.36,-0.3,17,0.12,0.24,2.31,18.48,2.304,18.43
Nebraska Cornhuskers - Berke Buyuktuncel,Nebraska Cornhuskers,Berke Buyuktuncel,4,30,6.43,6.81,2.6,16.72,17.71,7.0,5.45,1.55,16,0.33,1.53,2.64,17.98,2.697,18.37
Tennessee Volunteers - Jaylen Carey,Tennessee Volunteers,Jaylen Carey,6,33,7.42,7.82,2.0,14.84,15.64,7.71,6.92,0.8,13,0.0,0.15,2.35,18.38,2.334,18.25
Houston Cougars - Mercy Miller,Houston Cougars,Mercy Miller,2,33,4.82,5.17,3.7,17.83,19.13,5.32,3.82,1.5,13,0.42,1.18,3.82,19.75,3.52,18.2
Missouri Tigers - Jayden Stone,Missouri Tigers,Jayden Stone,10,25,13.2,12.24,1.6,21.12,19.58,12.87,13.7,-0.83,19,1.88,4.92,1.32,16.16,1.468,17.97
Texas Longhorns - Jordan Pope,Texas Longhorns,Jordan Pope,11,32,13.34,14.08,1.6,21.34,22.53,13.65,12.83,0.82,30,2.34,6.25,1.67,23.51,1.274,17.94
BYU Cougars - Kennard Davis Jr.,BYU Cougars,Kennard Davis Jr.,6,31,8.45,9.13,2.0,16.9,18.26,8.5,8.38,0.12,20,1.68,5.23,1.92,17.53,1.964,17.93
Kentucky Wildcats - Mouhamed Dioubate,Kentucky Wildcats,Mouhamed Dioubate,7,29,8.69,10.07,1.9,16.51,19.13,9.0,8.25,0.75,20,0.17,0.9,1.69,17.02,1.777,17.89
Akron Zips - Amani Lyles,Akron Zips,Amani Lyles,12,32,14.78,13.97,1.6,23.65,22.35,15.74,13.38,2.35,25,1.38,3.62,1.12,15.65,1.277,17.84
Ohio State Buckeyes - Amare Bynum,Ohio State Buckeyes,Amare Bynum,8,33,9.67,9.96,1.5,14.5,14.94,9.86,9.33,0.52,18,0.85,2.67,1.73,17.23,1.784,17.77
Vanderbilt Commodores - Tyler Harris,Vanderbilt Commodores,Tyler Harris,5,30,5.5,6.87,2.1,11.55,14.43,6.71,3.92,2.78,17,0.77,2.67,2.68,18.41,2.586,17.77
Michigan State Spartans - Jordan Scott,Michigan State Spartans,Jordan Scott,3,32,5.91,5.94,3.0,17.73,17.82,6.58,4.92,1.66,12,1.06,2.94,3.12,18.53,2.986,17.74
Purdue Boilermakers - Jack Benter,Purdue Boilermakers,Jack Benter,2,34,4.79,5.06,3.7,17.72,18.72,5.33,3.92,1.41,11,1.03,2.5,3.75,18.97,3.503,17.73
Texas A&M Aggies - Rylan Griffen,Texas A&M Aggies,Rylan Griffen,10,30,11.6,11.74,1.6,18.56,18.78,12.0,11.0,1.0,24,2.1,5.03,1.36,15.97,1.508,17.7
Alabama Crimson Tide - Houston Mallette,Alabama Crimson Tide,Houston Mallette,4,32,6.62,6.96,2.6,17.21,18.1,7.0,5.91,1.09,19,1.66,4.75,2.58,17.96,2.54,17.68
Alabama Crimson Tide - Taylor Bol Bowen,Alabama Crimson Tide,Taylor Bol Bowen,4,27,6.19,6.95,2.6,16.09,18.07,7.35,4.2,3.15,17,0.89,3.11,2.58,17.93,2.54,17.65
Iowa Hawkeyes - Tavion Banks,Iowa Hawkeyes,Tavion Banks,9,33,10.45,9.85,1.4,14.63,13.79,11.05,9.54,1.51,20,0.52,1.09,1.74,17.14,1.791,17.64
North Carolina Tar Heels - Luka Bogavac,North Carolina Tar Heels,Luka Bogavac,6,32,9.84,9.73,2.0,19.68,19.46,9.95,9.64,0.32,20,1.62,4.53,1.74,16.93,1.811,17.62
Tennessee State Tigers - Aaron Nkrumah,Tennessee State Tigers,Aaron Nkrumah,15,29,17.55,17.32,1.1,19.31,19.05,20.58,15.41,5.17,26,1.52,4.45,1.0,17.32,1.017,17.61
Virginia Cavaliers - Johann Grunloh,Virginia Cavaliers,Johann Grunloh,3,34,7.24,6.28,3.0,21.72,18.84,7.5,6.75,0.75,12,0.62,1.76,2.81,17.65,2.799,17.58
North Dakota State Bison - Damari Wheeler-Thomas,North Dakota State Bison,Damari Wheeler-Thomas,14,28,14.89,16.01,1.2,17.87,19.21,14.53,15.31,-0.77,28,2.29,6.11,1.01,16.17,1.097,17.56
McNeese Cowboys - Tyshawn Archie,McNeese Cowboys,Tyshawn Archie,12,31,14.26,14.23,1.6,22.82,22.77,15.67,12.94,2.73,24,2.03,5.35,1.07,15.23,1.228,17.47
Northern Iowa Panthers - Trey Campbell,Northern Iowa Panthers,Trey Campbell,12,34,13.68,13.69,1.6,21.89,21.9,14.47,12.88,1.59,27,1.88,5.56,1.09,14.92,1.269,17.37
Howard Bison - Cedric Taylor III,Howard Bison,Cedric Taylor III,16,21,17.1,17.27,1.0,17.1,17.27,19.64,14.3,5.34,29,0.95,3.48,1.44,24.87,1.002,17.3
Villanova Wildcats - Devin Askew,Villanova Wildcats,Devin Askew,8,32,10.03,10.9,1.5,15.04,16.35,10.21,9.77,0.44,27,2.0,4.91,1.49,16.24,1.582,17.24
Kentucky Wildcats - Collin Chandler,Kentucky Wildcats,Collin Chandler,7,34,9.94,9.69,1.9,18.89,18.41,10.14,9.58,0.55,15,2.06,4.82,1.69,16.38,1.777,17.22
Texas A&M Aggies - Marcus Hill,Texas A&M Aggies,Marcus Hill,10,32,10.81,11.4,1.6,17.3,18.24,11.21,10.23,0.98,25,0.47,1.94,1.36,15.5,1.508,17.19
St. John's Red Storm - Dylan Darling,St. John's Red Storm,Dylan Darling,5,32,7.03,6.93,2.1,14.76,14.55,7.35,6.5,0.85,23,0.81,2.69,2.54,17.6,2.47,17.12
Iowa State Cyclones - Dominykas Pleta,Iowa State Cyclones,Dominykas Pleta,2,32,4.47,4.73,3.7,16.54,17.5,5.74,2.62,3.12,12,0.0,0.0,3.85,18.21,3.572,16.9
Saint Mary's Gaels - Andrew McKeever,Saint Mary's Gaels,Andrew McKeever,7,31,8.55,8.99,1.9,16.24,17.08,8.12,9.07,-0.95,16,0.0,0.0,1.8,16.18,1.878,16.88
Long Island University Sharks - Jamal Fuller,Long Island University Sharks,Jamal Fuller,16,33,16.36,16.73,1.0,16.36,16.73,16.87,15.94,0.92,26,1.61,3.67,1.0,16.73,1.004,16.8
Florida Gators - Micah Handlogten,Florida Gators,Micah Handlogten,1,32,4.06,4.44,4.3,17.46,19.09,4.45,3.42,1.03,17,0.0,0.03,4.11,18.25,3.768,16.73
Howard Bison - Bryce Harris,Howard Bison,Bryce Harris,16,29,16.76,16.61,1.0,16.76,16.61,17.94,15.31,2.63,27,1.21,3.21,1.44,23.92,1.002,16.64
Saint Louis Billikens - Trey Green,Saint Louis Billikens,Trey Green,9,31,11.45,11.05,1.4,16.03,15.47,12.24,9.8,2.44,23,2.9,6.19,1.43,15.8,1.506,16.64
NC State Wolfpack - Darrion Williams,NC State Wolfpack,Darrion Williams,11,32,13.75,12.81,1.6,22.0,20.5,12.95,14.92,-1.98,25,2.34,5.84,1.75,22.42,1.299,16.64
Hawai'i Rainbow Warriors - Isaac Johnson,Hawai'i Rainbow Warriors,Isaac Johnson,13,30,14.3,14.95,1.2,17.16,17.94,13.89,14.92,-1.03,25,1.13,3.57,1.02,15.25,1.111,16.61
Akron Zips - Shammah Scott,Akron Zips,Shammah Scott,12,32,12.59,12.95,1.6,20.14,20.72,13.21,11.69,1.52,25,2.38,5.62,1.12,14.5,1.277,16.54
Troy Trojans - Thomas Dowd,Troy Trojans,Thomas Dowd,13,31,14.87,15.25,1.2,17.84,18.3,15.93,13.88,2.06,25,1.94,5.81,1.01,15.4,1.08,16.47
Lehigh Mountain Hawks - Hank Alvey,Lehigh Mountain Hawks,Hank Alvey,16,32,15.19,16.44,1.0,15.19,16.44,16.06,14.31,1.75,30,0.16,0.38,1.51,24.82,1.001,16.46
Purdue Boilermakers - Daniel Jacobsen,Purdue Boilermakers,Daniel Jacobsen,2,35,6.0,4.69,3.7,22.2,17.35,7.67,3.5,4.17,11,0.09,0.23,3.75,17.59,3.503,16.43
Texas A&M Aggies - Rubén Dominguez,Texas A&M Aggies,Rubén Dominguez,10,32,10.31,10.87,1.6,16.5,17.39,11.37,8.77,2.6,30,2.56,6.34,1.36,14.78,1.508,16.39
Tennessee State Tigers - Travis Harper II,Tennessee State Tigers,Travis Harper II,15,29,17.24,16.11,1.1,18.96,17.72,14.83,18.94,-4.11,30,2.66,6.38,1.0,16.11,1.017,16.38
Saint Louis Billikens - Dion Brown,Saint Louis Billikens,Dion Brown,9,32,10.97,10.85,1.4,15.36,15.19,11.05,10.8,0.25,19,0.69,1.75,1.43,15.52,1.506,16.34
UCF Knights - Jamichael Stillwell,UCF Knights,Jamichael Stillwell,10,30,11.67,11.18,1.6,18.67,17.89,12.55,9.9,2.65,18,0.4,1.27,1.28,14.31,1.45,16.21
Alabama Crimson Tide - London Jemison,Alabama Crimson Tide,London Jemison,4,30,6.17,6.37,2.6,16.04,16.56,7.63,3.64,4.0,20,0.93,2.67,2.58,16.43,2.54,16.18
Texas A&M Aggies - Mackenzie Mgbako,Texas A&M Aggies,Mackenzie Mgbako,10,7,10.43,10.7,1.6,16.69,17.12,11.0,9.67,1.33,19,1.71,5.0,1.36,14.55,1.508,16.14
Troy Trojans - Victor Valdes,Troy Trojans,Victor Valdes,13,31,14.9,14.94,1.2,17.88,17.93,13.4,16.31,-2.91,29,0.81,3.84,1.01,15.09,1.08,16.14
Wright State Raiders - Michael Cooper,Wright State Raiders,Michael Cooper,14,28,13.82,14.95,1.2,16.58,17.94,15.27,12.15,3.11,25,1.61,4.39,1.01,15.1,1.076,16.09
Michigan State Spartans - Cam Ward,Michigan State Spartans,Cam Ward,3,31,5.0,5.37,3.0,15.0,16.11,5.33,4.54,0.79,18,0.0,0.06,3.12,16.75,2.986,16.03
Houston Cougars - Chase McCarty,Houston Cougars,Chase McCarty,2,32,3.97,4.55,3.7,14.69,16.84,3.71,4.45,-0.74,20,0.91,2.56,3.82,17.38,3.52,16.02
North Carolina Tar Heels - Jarin Stevenson,North Carolina Tar Heels,Jarin Stevenson,6,32,7.97,8.8,2.0,15.94,17.6,7.38,9.09,-1.71,19,0.78,2.66,1.74,15.31,1.811,15.94
Texas Longhorns - Tramon Mark,Texas Longhorns,Tramon Mark,11,32,13.5,12.48,1.6,21.6,19.97,14.25,12.25,2.0,20,1.31,4.06,1.67,20.84,1.274,15.9
Michigan Wolverines - Will Tschetter,Michigan Wolverines,Will Tschetter,1,34,3.85,3.62,4.3,16.56,15.57,4.55,2.58,1.96,16,0.79,2.21,4.82,17.45,4.392,15.9
Missouri Tigers - Trent Pierce,Missouri Tigers,Trent Pierce,10,19,10.58,10.82,1.6,16.93,17.31,9.9,11.33,-1.43,23,1.95,4.89,1.32,14.28,1.468,15.88
Georgia Bulldogs - Somtochukwu Cyril,Georgia Bulldogs,Somtochukwu Cyril,8,32,9.59,9.5,1.5,14.38,14.25,9.29,10.18,-0.9,15,0.0,0.0,1.62,15.39,1.672,15.88
Virginia Cavaliers - Dallin Hall,Virginia Cavaliers,Dallin Hall,3,34,5.85,5.67,3.0,17.55,17.01,6.14,5.33,0.8,12,0.94,2.88,2.81,15.93,2.799,15.87
SMU Mustangs - B.J. Edwards,SMU Mustangs,B.J. Edwards,11,28,12.71,11.84,1.6,20.34,18.94,13.5,11.3,2.2,24,1.5,4.04,2.06,24.39,1.336,15.82
Clemson Tigers - Carter Welling,Clemson Tigers,Carter Welling,8,32,10.22,10.22,1.5,15.33,15.33,10.89,9.23,1.66,19,0.53,1.81,1.41,14.41,1.548,15.82
Hawai'i Rainbow Warriors - Dre Bullock,Hawai'i Rainbow Warriors,Dre Bullock,13,30,13.67,14.18,1.2,16.4,17.02,13.72,13.58,0.14,27,1.07,4.07,1.02,14.46,1.111,15.75
Northern Iowa Panthers - Will Hornseth,Northern Iowa Panthers,Will Hornseth,12,33,11.52,12.39,1.6,18.43,19.82,12.0,11.0,1.0,21,0.12,0.27,1.09,13.51,1.269,15.72
