,,,MIN,MIN,MIN,MIN,MIN,MIN,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,PTS,PTS,PTS,PTS,PTS,PTS,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arkansas,M. Kingsley,27.6,22,34,3.1522757026096486,552,20,0.45,0.0,2.0,0.6863327411532597,9.0,7.0,0.2,0.0,1.0,0.41039134083406165,4.0,4.0,4.0,1.0,11.0,2.470883072485369,80.0,20.0,5.2,2.0,12.0,2.546411303445653,104.0,20.0,12.8,5,24,4.262443084972699,256,20,4.3,2.0,10.0,1.9221698265515623,86.0,20.0,9.05,4.0,18.0,3.6487200351269538,181.0,20.0
8,Arkansas,M. Watkins,21.35,2,28,5.714938872445572,427,20,0.6,0.0,4.0,1.2732056517228265,12.0,5.0,0.2,0.0,2.0,0.5231483637805969,4.0,3.0,0.85,0.0,4.0,1.2258187382102497,17.0,8.0,1.25,0.0,8.0,1.943274501832843,25.0,10.0,6.35,0,13,3.3446736918962903,127,19,2.65,0.0,6.0,1.5652475842498528,53.0,19.0,4.8,0.0,8.0,2.261811104775156,96.0,19.0
8,Arkansas,T. Thompson,12.9,6,23,4.843878393884062,258,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,3.0,0.9333020044867296,13.0,8.0,1.0,0.0,4.0,1.4867838833500564,20.0,8.0,3.15,0,8,2.777257261172764,63,13,1.25,0.0,4.0,1.2085223687584248,25.0,13.0,1.8,0.0,4.0,1.3218806379747874,36.0,15.0
12,Arizona,A. Trier,31.0,23,38,5.761944116355173,186,6,4.833333333333333,3.0,6.0,1.329160135825126,29.0,6.0,2.0,0.0,4.0,1.4142135623730951,12.0,5.0,5.5,3.0,12.0,3.5637059362410923,33.0,6.0,6.666666666666667,3.0,12.0,3.559026084010437,40.0,6.0,17.833333333333332,3,28,9.239408350466315,107,6,5.166666666666667,0.0,11.0,3.763863263545405,31.0,5.0,9.666666666666666,5.0,14.0,3.265986323710904,58.0,6.0
12,Arizona,C. Comanche,17.476190476190474,10,23,3.8680621455587767,367,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.619047619047619,0.0,7.0,1.8567765206451334,34.0,13.0,2.238095238095238,0.0,8.0,2.2562083659263807,47.0,13.0,6.285714285714286,2,14,3.2732683535398857,132,21,2.3333333333333335,1.0,6.0,1.2780193008453875,49.0,21.0,3.9047619047619047,1.0,7.0,1.5461164867099084,82.0,21.0
12,Arizona,D. Ristic,24.571428571428573,18,33,4.213922502507949,516,21,0.09523809523809523,0.0,1.0,0.30079260375911915,2.0,2.0,0.047619047619047616,0.0,1.0,0.21821789023599236,1.0,1.0,1.7142857142857142,0.0,4.0,1.2705454396776663,36.0,16.0,2.3333333333333335,0.0,7.0,1.7701224063135672,49.0,17.0,10.904761904761905,2,18,4.918381460447755,229,21,4.571428571428571,1.0,8.0,2.2264642052238024,96.0,21.0,8.476190476190476,3.0,15.0,2.9260732666672515,178.0,21.0
12,Arizona,J. DesJardins,2.0,1,3,0.816496580927726,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,1.0,2.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,0.5,0,2,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,1.0,2.0,1.0
12,Arizona,K. Allen,29.5,5,36,6.676746765335724,590,20,1.9,0.0,4.0,1.2937094768634556,38.0,17.0,0.85,0.0,3.0,0.8750939799154206,17.0,12.0,2.75,0.0,9.0,2.489451429743635,55.0,17.0,3.75,0.0,11.0,3.4316637057662986,75.0,17.0,9.5,1,18,4.740641750915831,190,20,2.95,0.0,6.0,1.637552731171861,59.0,18.0,6.35,2.0,11.0,2.700389835404861,127.0,20.0
12,Arizona,K. Jones,2.0,2,2,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Arizona,K. Pinder,13.894736842105264,4,26,5.6754318175615035,264,19,0.15789473684210525,0.0,2.0,0.5014598571212789,3.0,2.0,0.05263157894736842,0.0,1.0,0.22941573387056174,1.0,1.0,0.8421052631578947,0.0,4.0,1.2588865404147536,16.0,7.0,1.263157894736842,0.0,6.0,1.758853959674307,24.0,9.0,2.8947368421052633,0,7,2.53628636750894,55,13,1.0,0.0,3.0,1.0540925533894598,19.0,12.0,1.8421052631578947,0.0,5.0,1.6419215671732126,35.0,17.0
