team_id,game_num,game_id,game_location,opp_id
193,1,401829496,home,295
193,2,401831071,home,-1
193,3,401820551,away,2005
193,4,401820211,home,2385
193,5,401827131,home,2029
193,6,401830117,home,2430
193,7,401831072,home,-1
193,8,401820629,home,311
193,9,401830422,away,2427
193,10,401828548,away,2198
193,11,401823413,away,2750
193,12,401813772,away,2050
193,13,401831073,home,-1
193,14,401814494,away,189
193,15,401814498,home,2006
193,16,401814509,home,2711
193,17,401814515,away,2649
193,18,401814517,home,2117
193,19,401814522,home,2084
193,20,401814531,away,2309
193,21,401814543,home,113
193,22,401814550,home,2459
193,23,401814556,away,2084
193,24,401845843,away,276
193,25,401814565,home,195
193,26,401814572,away,113
193,27,401814575,home,189
193,28,401814583,away,2199
193,29,401814590,away,2711
193,30,401814597,home,2649
193,31,401814601,away,195
193,32,401858186,home,113
2378,1,401826052,home,-1
2378,2,401813435,away,2168
2378,3,401813274,away,2415
2378,4,401826053,home,2681
2378,5,401817145,away,45
2378,6,401826054,home,-1
2378,7,401826055,home,2169
2378,8,401822726,away,46
2378,9,401809081,away,2083
2378,10,401823432,home,2084
2378,11,401826056,home,349
2378,12,401826057,away,58
2378,13,401822766,away,2154
2378,14,401812111,home,311
2378,15,401812117,home,160
2378,16,401812120,away,2803
2378,17,401812123,away,2066
2378,18,401812128,home,2885
2378,19,401812132,home,2349
2378,20,401812135,away,261
2378,21,401812139,away,399
2378,22,401812143,home,2066
2378,23,401812151,away,311
2378,24,401812156,away,160
2378,25,401812161,home,261
2378,26,401812162,home,399
2378,27,401812166,home,2803
2378,28,401812171,away,2349
2378,29,401812176,away,2885
2378,30,401851198,home,160
2378,31,401851202,home,2349
2378,32,401851206,home,261
47,1,401829423,home,142
47,2,401830236,home,-1
47,3,401827088,home,2755
47,4,401829686,home,2016
47,5,401825206,away,56
47,6,401813378,home,315
47,7,401817233,away,150
47,8,401830237,home,-1
47,9,401813402,away,116
47,10,401830238,home,-1
47,11,401827529,home,2448
47,12,401827524,home,2261
47,13,401827516,away,2182
47,14,401827502,away,350
47,15,401826936,away,77
47,16,401829284,away,2569
47,17,401823046,away,2379
47,18,401830239,home,2169
47,19,401830240,away,2428
47,20,401830241,home,-1
47,21,401828691,home,2415
47,22,401828728,home,2450
47,23,401858634,away,2154
47,24,401829288,home,2569
47,25,401818333,home,43
47,26,401823052,home,2379
47,27,401830242,away,2169
47,28,401830243,home,2428
47,29,401828716,away,2415
47,30,401822779,home,2154
47,31,401828732,away,2450
47,32,401851475,home,2569
47,33,401851477,home,2428
251,1,401817228,home,150
251,2,401829412,home,322
251,3,401812284,home,161
251,4,401829425,home,140
251,5,401812628,home,2520
251,6,401819818,home,9
251,7,401831199,away,-1
251,8,401831202,home,152
251,9,401806379,home,258
251,10,401827017,home,2582
251,11,401812794,away,41
251,12,401826858,home,2330
251,13,401823044,home,2379
251,14,401808150,home,344
251,15,401808160,away,2633
251,16,401808168,away,333
251,17,401808176,home,238
251,18,401808183,home,245
251,19,401808185,away,96
251,20,401808198,home,61
251,21,401808200,away,2
251,22,401808214,away,201
251,23,401808217,home,2579
251,24,401808226,home,145
251,25,401808236,away,142
251,26,401808243,home,99
251,27,401808251,away,61
251,28,401808264,home,57
251,29,401808272,away,245
251,30,401808273,away,8
251,31,401808287,home,201
251,32,401851559,home,145
2653,1,401823008,away,2309
2653,2,401824868,away,231
2653,3,401827209,home,-1
2653,4,401824040,away,2351
2653,5,401823258,away,2463
2653,6,401823763,away,21
2653,7,401827210,away,30
2653,8,401829680,home,2649
2653,9,401830883,home,2598
2653,10,401825387,home,2698
2653,11,401827211,home,-1
2653,12,401826876,away,5
2653,13,401808587,home,276
2653,14,401808591,home,326
2653,15,401808599,home,6
2653,16,401808602,away,2032
2653,17,401808613,away,309
2653,18,401808615,home,2572
2653,19,401808626,home,2032
2653,20,401808627,away,295
2653,21,401808636,away,290
2653,22,401808647,home,256
2653,23,401808648,home,2026
2653,24,401808658,away,2247
2653,25,401845848,home,2006
2653,26,401808665,away,326
2653,27,401808673,away,2572
2653,28,401808676,away,2433
2653,29,401808685,away,6
2653,30,401808691,home,309
2653,31,401808700,home,2433
2653,32,401851704,home,2572
2653,33,401851706,home,290
58,1,401826812,home,50
58,2,401817142,home,45
58,3,401822759,home,2154
58,4,401826813,away,338
58,5,401813290,away,197
58,6,401822738,home,2670
58,7,401830875,home,98
58,8,401830876,home,36
58,9,401826835,home,328
58,10,401826836,home,232
58,11,401812267,away,333
58,12,401826057,home,2378
58,13,401826814,home,-1
58,14,401828159,home,5
58,15,401828166,away,249
58,16,401828167,away,202
58,17,401828175,home,151
58,18,401828184,home,2724
58,19,401828190,away,5
58,20,401828195,home,2226
58,21,401828201,away,2655
58,22,401828205,away,218
58,23,401828212,home,2636
58,24,401828218,home,202
58,25,401828223,away,2724
58,26,401828230,away,2226
58,27,401828237,home,235
58,28,401828247,away,242
58,29,401828254,home,2655
58,30,401828260,away,235
58,31,401828263,home,2429
58,32,401851227,home,2429
58,33,401851229,home,2724
158,1,401825381,home,2698
158,2,401827237,home,2229
158,3,401823038,home,2379
158,4,401826778,home,201
158,5,401827238,home,167
158,6,401831195,home,2306
158,7,401827068,home,2737
158,8,401827062,home,2908
158,9,401820835,home,156
158,10,401825405,home,275
158,11,401825407,away,356
158,12,401827239,home,155
158,13,401826776,home,160
158,14,401825412,home,127
158,15,401825420,away,194
158,16,401825431,away,84
158,17,401825440,home,2483
158,18,401825448,away,77
158,19,401825461,home,264
158,20,401825467,away,135
158,21,401825474,away,130
158,22,401825487,home,356
158,23,401825499,away,164
158,24,401825507,home,2509
158,25,401825515,home,77
158,26,401825520,away,2294
158,27,401825531,home,213
158,28,401825541,home,120
158,29,401825548,away,30
158,30,401825554,away,26
158,31,401825569,home,2294
158,32,401851382,home,2509
97,1,401817239,home,2569
97,2,401817240,home,2296
97,3,401817241,home,96
97,4,401817242,home,195
97,5,401817243,home,2132
97,6,401817244,home,2199
97,7,401817245,home,2885
97,8,401806374,away,8
97,9,401817246,home,84
97,10,401817247,home,235
97,11,401817248,away,2633
97,12,401817249,home,149
97,13,401820634,away,25
97,14,401820643,away,24
97,15,401820650,home,150
97,16,401820659,home,103
97,17,401820669,home,258
97,18,401820679,away,221
97,19,401820691,home,259
97,20,401820698,away,150
97,21,401820710,home,2567
97,22,401820718,home,87
97,23,401820729,away,154
97,24,401820730,home,152
97,25,401817250,home,239
97,26,401820749,away,2567
97,27,401820756,home,59
97,28,401820762,away,153
97,29,401820770,away,228
97,30,401820781,home,183
97,31,401820790,away,2390
97,32,401851174,home,2567
97,33,401851178,home,2390
2567,1,401817452,home,2627
2567,2,401817453,home,357
2567,3,401817454,home,93
2567,4,401817455,home,2086
2567,5,401817456,home,2029
2567,6,401817457,home,2032
2567,7,401817458,home,2515
2567,8,401817459,away,344
2567,9,401806375,away,238
2567,10,401817460,home,245
2567,11,401817461,home,99
2567,12,401817462,home,2110
2567,13,401817463,home,2239
2567,14,401820648,home,153
2567,15,401820652,away,228
2567,16,401820657,away,150
2567,17,401820671,home,259
2567,18,401820680,home,258
2567,19,401820683,away,154
2567,20,401820694,home,52
2567,21,401820710,away,97
2567,22,401820719,home,152
2567,23,401820726,away,221
2567,24,401820737,home,87
2567,25,401820744,away,183
2567,26,401820749,home,97
2567,27,401820758,home,103
2567,28,401820765,away,25
2567,29,401820776,away,24
2567,30,401820784,home,2390
2567,31,401820789,away,52
2567,32,401851171,home,183
2567,33,401851174,home,97
275,1,401826911,home,2097
275,2,401823461,home,2459
275,3,401822319,home,2050
275,4,401826912,home,2565
275,5,401819836,away,252
275,6,401826890,home,2507
275,7,401831224,home,2628
275,8,401825397,home,77
275,9,401823027,home,269
275,10,401825405,away,158
275,11,401823567,home,222
275,12,401823459,home,2117
275,13,401822316,home,270
275,14,401825417,home,2509
275,15,401825424,home,26
275,16,401825432,away,130
275,17,401825439,away,135
275,18,401825453,home,164
275,19,401825463,away,213
275,20,401825471,home,30
275,21,401825478,home,135
275,22,401825485,home,194
275,23,401825497,away,84
275,24,401825506,away,356
275,25,401825512,home,127
275,26,401825522,away,194
275,27,401825535,home,2294
275,28,401825542,away,2483
275,29,401825549,away,264
275,30,401825559,home,120
275,31,401825565,away,2509
275,32,401851376,home,264
275,33,401851381,home,356
275,34,401851384,home,130
2628,1,401808890,home,2443
2628,2,401812250,home,2598
2628,3,401812251,home,2320
2628,4,401812252,home,130
2628,5,401812253,home,140
2628,6,401809047,home,57
2628,7,401831224,home,275
2628,8,401812254,home,87
2628,9,401812255,away,249
2628,10,401812256,home,2916
2628,11,401812257,home,198
2628,12,401812258,home,50
2628,13,401812259,home,2296
2628,14,401827597,home,239
2628,15,401827601,away,2305
2628,16,401827612,home,12
2628,17,401827620,away,252
2628,18,401827629,away,254
2628,19,401827636,home,197
2628,20,401827641,away,239
2628,21,401827650,home,248
2628,22,401827658,away,38
2628,23,401827670,home,2306
2628,24,401827675,home,66
2628,25,401827683,away,197
2628,26,401827687,away,2116
2628,27,401827697,home,277
2628,28,401827703,home,9
2628,29,401827713,away,2306
2628,30,401827719,away,2641
2628,31,401827729,home,2132
2628,32,401851294,home,197
2628,33,401851302,home,2305
194,1,401823374,home,85
194,2,401823392,home,2870
194,3,401826733,home,2026
194,4,401817434,home,87
194,5,401827255,home,2711
194,6,401813401,home,116
194,7,401817447,away,221
194,8,401825399,away,77
194,9,401825404,home,356
194,10,401819921,home,277
194,11,401809307,home,153
194,12,401827093,home,2755
194,13,401825413,away,164
194,14,401825420,home,158
194,15,401825429,away,2483
194,16,401825437,away,264
194,17,401825449,home,26
194,18,401825457,home,135
194,19,401825464,away,130
194,20,401825472,home,213
194,21,401825485,away,275
194,22,401825495,away,120
194,23,401825503,home,130
194,24,401825510,home,30
194,25,401817516,home,258
194,26,401825522,home,275
194,27,401825534,away,127
194,28,401825540,away,2294
194,29,401825552,home,2509
194,30,401825557,away,213
194,31,401825563,home,84
194,32,401851375,home,2294
194,33,401851380,home,130
2504,1,401827039,home,-1
2504,2,401827040,home,-1
2504,3,401826880,away,2724
2504,4,401813288,away,197
2504,5,401827041,away,142
2504,6,401829391,home,2630
2504,7,401831212,home,2454
2504,8,401827042,away,249
2504,9,401827043,home,-1
2504,10,401811112,away,233
2504,11,401827044,home,-1
2504,12,401827045,away,99
2504,13,401827046,away,245
2504,14,401827047,away,2755
2504,15,401827022,away,2582
2504,16,401827048,home,2400
2504,17,401827049,home,2029
2504,18,401827050,away,2296
2504,19,401827051,away,2016
2504,20,401827052,home,2011
2504,21,401858319,home,2010
2504,22,401827054,home,2640
2504,23,401827075,away,2065
2504,24,401827076,away,50
2504,25,401827032,home,2582
2504,26,401827077,home,2755
2504,27,401827078,away,2400
2504,28,401827149,away,2029
2504,29,401827080,home,2296
2504,30,401827081,home,2016
2504,31,401827082,away,2640
2504,32,401851716,home,2016
2504,33,401851718,home,2065
2504,34,401851722,home,2010
2504,35,401851726,home,2582
2329,1,401824809,away,248
2329,2,401829414,home,-1
2329,3,401819916,away,277
2329,4,401827433,away,164
2329,5,401812381,home,2598
2329,6,401818370,home,171
2329,7,401813323,away,2368
2329,8,401829415,home,2540
2329,9,401831225,home,326
2329,10,401820609,away,2066
2329,11,401812360,home,112358
2329,12,401829416,home,-1
2329,13,401824866,away,2405
2329,14,401826817,home,349
2329,15,401829396,away,2083
2329,16,401824385,home,107
2329,17,401829408,away,2142
2329,18,401824367,away,104
2329,19,401820165,home,2426
