,,,MIN,MIN,MIN,MIN,MIN,MIN,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,PTS,PTS,PTS,PTS,PTS,PTS,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arkansas,T. Thompson,15.3,6,23,5.578729445153459,153,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0,0.97182531580755,5.0,3.0,0.9,0.0,4.0,1.3703203194062978,9.0,4.0,2.5,0,8,2.758824226207808,25,6,1.0,0.0,4.0,1.247219128924647,10.0,6.0,1.6,0.0,4.0,1.429840705968481,16.0,7.0
12,Arizona,A. Trier,31.181818181818183,23,38,4.686537780028704,343,11,4.7272727272727275,3.0,6.0,1.1908743922772955,52.0,11.0,1.9090909090909092,0.0,4.0,1.3003496033409983,21.0,10.0,4.909090909090909,1.0,12.0,3.1449815724275862,54.0,11.0,6.181818181818182,2.0,12.0,3.34120283186106,68.0,11.0,16.818181818181817,3,28,7.4675053641518305,185,11,5.0,0.0,11.0,2.792848008753788,55.0,10.0,10.454545454545455,5.0,14.0,2.6967994498529686,115.0,11.0
12,Arizona,C. Comanche,20.0,14,32,4.9396356140913875,220,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272727272727273,0.0,7.0,1.9540168418367887,25.0,9.0,2.8181818181818183,0.0,8.0,2.2279219832921355,31.0,9.0,7.363636363636363,3,13,2.8730724763822884,81,11,2.5454545454545454,0.0,6.0,1.694912172570388,28.0,10.0,4.909090909090909,2.0,11.0,2.625054111996378,54.0,11.0
12,Arizona,D. Ristic,21.7,12,31,5.578729445153461,217,10,0.1,0.0,1.0,0.31622776601683794,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.9428090415820634,10.0,6.0,1.2,0.0,2.0,1.0327955589886444,12.0,6.0,8.2,2,13,4.391911757866827,82,10,3.6,1.0,6.0,2.3190036174568114,36.0,10.0,7.7,3.0,13.0,2.79085809185793,77.0,10.0
12,Arizona,J. DesJardins,1.0,1,1,,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
12,Arizona,K. Allen,29.88888888888889,23,35,3.982601048449507,269,9,2.2222222222222223,0.0,4.0,1.2018504251546631,20.0,8.0,0.7777777777777778,0.0,2.0,0.6666666666666666,7.0,6.0,2.3333333333333335,0.0,7.0,2.23606797749979,21.0,7.0,3.111111111111111,0.0,11.0,3.370624736026114,28.0,7.0,8.222222222222221,3,14,3.73422608373468,74,9,2.5555555555555554,1.0,4.0,1.1303883305208782,23.0,9.0,5.888888888888889,2.0,10.0,2.3154073315749675,53.0,9.0
12,Arizona,K. Pinder,9.0,4,25,6.4031242374328485,81,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,1.0,0.4409585518440985,2.0,2.0,0.5555555555555556,0.0,3.0,1.1303883305208782,5.0,2.0,1.3333333333333333,0,3,1.3228756555322954,12,5,0.5555555555555556,0.0,1.0,0.5270462766947299,5.0,5.0,0.8888888888888888,0.0,3.0,0.927960727138337,8.0,6.0
12,Arizona,K. Simmons,20.727272727272727,5,27,7.1845794461597965,228,11,2.727272727272727,0.0,6.0,1.618079669911781,30.0,10.0,0.9090909090909091,0.0,2.0,0.8312094145936335,10.0,7.0,0.7272727272727273,0.0,2.0,0.9045340337332908,8.0,5.0,1.0909090909090908,0.0,3.0,1.1361818036340359,12.0,6.0,6.181818181818182,0,13,4.622081388685877,68,10,2.272727272727273,0.0,5.0,1.7372915179041826,25.0,9.0,6.818181818181818,0.0,11.0,2.926369143432927,75.0,10.0
12,Arizona,L. Markkanen,29.0,22,35,4.335896677735761,319,11,3.8181818181818183,1.0,7.0,1.887759614897078,42.0,11.0,1.0,0.0,4.0,1.2649110640673518,11.0,6.0,3.3636363636363638,2.0,8.0,1.85864075456917,37.0,11.0,4.0,2.0,9.0,2.1908902300206643,44.0,11.0,11.818181818181818,4,26,6.337478707154475,130,11,3.727272727272727,1.0,9.0,2.5725827135743993,41.0,11.0,9.272727272727273,5.0,17.0,3.58024884863913,102.0,11.0
12,Arizona,R. Alkins,24.09090909090909,17,29,4.182213420057505,265,11,2.909090909090909,1.0,5.0,1.2210278829367864,32.0,11.0,1.0909090909090908,0.0,2.0,1.044465935734187,12.0,6.0,0.9090909090909091,0.0,3.0,1.044465935734187,10.0,6.0,1.4545454545454546,0.0,6.0,1.7529196424044293,16.0,7.0,9.454545454545455,3,16,4.1560470729681676,104,11,3.727272727272727,1.0,7.0,1.793929156399945,41.0,11.0,7.363636363636363,5.0,11.0,1.9632996344280855,81.0,11.0
